record_no,line_no,text
2022-0001,0,"exploiting a large sample of chinese listed companies and provincial panel data over the period from 2011 to 2018, this study investigates whether and how fintech improves the investment efficiency of listed firms"
2022-0001,1,"we find that corporate investment efficiency is positively associated with the level of fintech, and this relation is concentrated in areas with low urbanization rates and low marketization, indicating the inclusive nature of fintech"
2022-0001,2,"moreover, both diversified ownership of enterprises and the separation of ownership and management significantly strengthen the positive association, which reflects a complementary effect between the influence of fintech on corporate investment efficiency and the two governance mechanisms"
2022-0002,0,"in this paper, we discuss how to empower financial literacy education through gamification and also blockchain technology"
2022-0002,1,the paper describes the use of various technologies to the general public on financial literacy
2022-0002,2,"this research is based on a three-year cross-discipline project that aims to raise financial literacy around the world, especially the developing countries"
2022-0002,3,this paper serves as an interim review for the project gamified fintech project for education
2022-0003,0,"with the rapid development of information technology, internet finance is increasingly prosperous"
2022-0003,1,"while financial technology has brought new directions to china's finance, it is also accompanied by regulatory problems"
2022-0003,2,traditional financial supervision concepts and models need to be reformed urgently
2022-0003,3,"in terms of supervision methods, it is also necessary to upgrade supervision technology accordingly, establish a big data supervision platform, give full play to the role of third-party credit service agencies on this basis, improve the technical knowledge of supervisors, and strengthen the work of network security to fill the regulatory loopholes"
2022-0004,0,the digitisation process is affecting all markets and raising consumer awareness about companies sustainable behaviour
2022-0004,1,this work studies the effect of the sustainability profile of fintech companies on the firm (market value and book value) as the factors that add value to investors and motivate their evolution in markets are still unknown
2022-0004,2,"using the kbw and nasdaq fintech indices, and the nasdaq insurance index (ixis), we composed a panel of 95 companies over a 10-year period (20102019) with economic-financial variables and data about green certificates and sustainability indices"
2022-0004,3,the applied methodology is based on dynamic (gmm-sys) and static (pcse) panel data models
2022-0004,4,"our results show that the market value of fintech companies is positively driven by an csr report being issued, the position in the csr reptrak, company size and board size"
2022-0004,5,"in contrast, the number of green certificates, particularly their position in the green ranking, is negatively related to their market value"
2022-0004,6,"surprisingly in the most transparent companies, the direction of the variables effect evidenced for the book value per share is the opposite to market capitalisation"
2022-0005,0,"in the recent years, the concerns raised by environmentalists, over the excessive usage of electricity, particularly in the mining of cryptocurrencies, have caught the attention of the community at large"
2022-0005,1,"in this regard, regulators and stakeholders have been reevaluating the costs and benefits of technological development in general, as well as in fintech, specifically targeting their efforts towards the restoration of the environment"
2022-0005,2,"considering that technology has long been perceived as dual edged sword for the environment, this would be the appropriate time to assess its true role in the environmental improvement, or rather, even deterioration"
2022-0005,3,"therefore, this study attempts to address the question of whether the fintech development is helping economies towards a smooth transition towards a lower level of carbon and greenhouse gasses emissions"
2022-0005,4,"our results in this aspect are highly encouraging, and confirm that fintech development can in fact help to reduce the greenhouse gas emissions, after the inclusion of appropriate control variables"
2022-0005,5,"moreover, these results are robust even after the incorporation of the potential endogeneity of fintech development, by the usage of 2sls and gmm estimations"
2022-0000,0,technology firms are increasingly moving to finance
2022-0000,1,they are able to make use of a large stock of user data and offer a range of services that otherwise were not possible
2022-0000,2,this move may pose fresh challenges to financial stability
2022-0000,3,this paper empirically evaluates the tail risk and systemic risk of technology firms
2022-0000,4,"our data sample consists of technology firms, and for comparison we also evaluate the tail risk and systemic risk of finance firms"
2022-0000,5,we use daily equity returns data from 2 april 1992 to 31 december 2019 and we adopt the univariate extreme value theory (evt) to determine equity tail risk
2022-0000,6,our selection criteria is the market capitalisation and we choose the top twenty technology and the top twenty finance firms to evaluate tail risk and systemic risk
2022-0000,7,"we found that the tail risk of technology firms is higher than the financial firms, whereas they are less likely to be in distress conditional upon a shock from the system"
2022-0000,8,"however, this finding for technology firms reverses when we use recent data via our six-year rolling estimates"
2022-0000,9,"we conclude that, similar to finance firms, there should be tighter regulations for technology firms since technology firms are riskier than the finance firms"
2022-0000,10,our paper has significant implications for both national and global financial regulators
2022-0006,0,technology-based mobile applications merge the transportation market as public passenger transportation has to benefit from market coupons
2022-0006,1,users are also a little disappointed in the nature of many online application-based strategies
2022-0006,2,the survey technique is often used to collect consumer data by stratified random sampling between two different classes (users and non-users)
2022-0006,3,this result shows the significance of ease of use and usability in improving attitudes
2022-0006,4,"in this paper, the business process using a use case diagram and the database using the class diagram were modeled"
2022-0006,5,"further, user interface of the mobile application was demonstrated as a convenience to understand our proposed mobile application"
2021-0087,0,"the implementation of financial technology (fintech) in the islamic finance industry has created a totally new phenomenon of banking and financial behaviour for the stakeholders, particularly in malaysia"
2021-0087,1,"as part of the financial revolution, the islamic finance sector ought to embrace fintech to diversify the services/products offered as the digitalisation process is taking place in the fourth industrial revolution era"
2021-0087,2,"in order to safeguard the assimilation of the technology into the existing traditional practice of islamic finance, shariah-compliant regulation is, therefore, necessary for governing the potential risks associated throughout the process of financial activities"
2021-0087,3,"hence, this paper intends to analyse the need for shariah-compliant regulation to govern fintech-related activity in the islamic finance industry"
2021-0087,4,the article emphasises the need from several aspects such as the non-comprehensiveness of the islamic financial services act (ifsa) 2013
2021-0087,5,the increasing rate of financial inclusion and
2021-0087,6,the qualifications of the shariah advisory council's (sac) members in malaysia
2021-0087,7,it also provides recommendations through the introduction of subsidiary legislation pursuant to ifsa
2021-0087,8,production of regulatory sandbox framework especially for islamic fintech firms
2021-0087,9,and emphasis on the importance of sac members possessing knowledge in technological aspect in order to ensure the need for shariah-compliant regulation in the islamic finance industry is properly satisfied
2021-0088,0,this study empirically examines the effect of green finance and fintech on high-quality economic development
2021-0088,1,"using data from 30 provinces and municipalities in china from 2007 to 2019, this study applies panel regression analysis to investigate the relationships between green finance, fintech, and high-quality economic development, and adopts a two-step generalized method of moments (gmm) to defaecate the endogeneity issue"
2021-0088,2,"this study finds that green finance comprehensively facilitates high-quality economic development by positively affect its all three aspects (i.e., ecological environment, economic efficiency, and economic structure)"
2021-0088,3,"additionally, fintech strengthens the positive impact of green finance in the aspects of ecological environment and economic structure, while having limited effects on the relationship between green finance and economic efficiency"
2021-0088,4,"based on these findings, our study proposes three policy suggestions for policymakers, including reinforcing the integration of fintech development with green finance, building an environmental disclosure framework to supervise local governments in improving efficiency of green finance, and developing medium- and long-term favorable policies as an external intervention measure to promote green finance in the private sector"
2021-0089,0,the fintech innovation of e-money products in the financial sector has not gained sufficient recognition in nigeria's developing country
2021-0089,1,"despite the numerous economic benefits associated with this innovation, physical cash for financial transactions is still prevalent"
2021-0089,2,banks are still experiencing some level of cash withdrawals and deposits by individuals who refuse to embrace modern technology
2021-0089,3,this study stresses the economic benefits of e-payment channels available today and statistically supports evidence to substantiate their usefulness
2021-0089,4,"in this study, we use banks' e-money products as the independent variables, while gdp is employed as a proxy for the economy"
2021-0089,5,the data are collected from 2006-2019 and are analyzed with multiple regression techniques using e-views version 9 software
2021-0089,6,the result shows that all banks' e-money products have a significant favorable influence on the economy except the pos that is yet to gain momentum
