citing_id,cited_id
2016-0000,1997-0016
2016-0000,1998-0038
2016-0000,2005-0005
2016-0000,2005-0011
2016-0000,2009-0019
2016-0000,2015-0162
2016-0000,2015-0254
2016-0000,2015-0267
2016-0000,2016-0108
2016-0000,2016-0202
2016-0000,2016-0236
2016-0000,2016-0252
2016-0000,2016-0331
2016-0001,1986-0006
2016-0001,2004-0049
2016-0001,2005-0006
2016-0001,2009-0082
2016-0001,2011-0125
2016-0001,2014-0022
2016-0002,1987-0001
2016-0002,1995-0018
2016-0002,1996-0014
2016-0002,2003-0058
2016-0004,2014-0002
2016-0004,2015-0148
2016-0004,2015-0219
2016-0004,2015-0280
2016-0004,2015-0281
2016-0004,2015-0287
2016-0004,2016-0300
2017-0000,1993-0000
2017-0000,2000-0007
2017-0000,2005-0070
2017-0000,2007-0022
2017-0000,2008-0001
2017-0000,2008-0071
2017-0000,2008-0076
2017-0000,2008-0080
2017-0000,2008-0100
2017-0000,2009-0047
2017-0000,2009-0060
2017-0000,2010-0033
2017-0000,2010-0126
2017-0000,2010-0156
2017-0000,2011-0095
2017-0000,2011-0138
2017-0000,2012-0069
2017-0000,2012-0084
2017-0000,2012-0091
2017-0000,2012-0104
2017-0000,2013-0035
2017-0000,2013-0101
2017-0000,2013-0105
2017-0000,2013-0115
2017-0000,2013-0129
2017-0000,2015-0123
2017-0000,2015-0199
2017-0000,2016-0237
2017-0000,2017-0301
2017-0000,2017-0324
2017-0000,2017-0386
2017-0001,1995-0004
2017-0001,2009-0028
2017-0001,2011-0053
2017-0001,2013-0016
2017-0001,2013-0095
2017-0001,2014-0046
2017-0001,2015-0120
2017-0001,2015-0141
2017-0002,1964-0000
2017-0002,1990-0011
2017-0002,1993-0001
2017-0002,1993-0002
2017-0002,1997-0026
2017-0002,2000-0022
2017-0002,2003-0029
2017-0002,2004-0021
2017-0002,2007-0071
2017-0002,2009-0058
2017-0002,2012-0097
2017-0002,2013-0075
2017-0002,2013-0141
2017-0002,2015-0001
2017-0002,2015-0177
2017-0002,2015-0230
2017-0002,2015-0238
2017-0002,2015-0252
2017-0002,2015-0273
2017-0002,2016-0252
2017-0003,2014-0067
2017-0003,2015-0174
2017-0003,2016-0207
2017-0003,2016-0245
2017-0003,2016-0272
2017-0003,2017-0168
2017-0003,2017-0197
2017-0003,2017-0307
2017-0006,2004-0022
2017-0009,2016-0089
2017-0009,2016-0263
2018-0000,1991-0010
2018-0000,1991-0014
2018-0000,1996-0009
2018-0000,1996-0030
2018-0000,1997-0014
2018-0000,1997-0036
2018-0000,1998-0033
2018-0000,1998-0037
2018-0000,1999-0045
2018-0000,2001-0040
2018-0000,2001-0049
2018-0000,2002-0058
2018-0000,2003-0038
2018-0000,2004-0040
2018-0000,2004-0063
2018-0000,2005-0054
2018-0000,2007-0084
2018-0000,2008-0041
2018-0000,2008-0102
2018-0000,2008-0105
2018-0000,2008-0106
2018-0000,2008-0107
2018-0000,2009-0049
2018-0000,2010-0087
2018-0000,2010-0107
2018-0000,2010-0122
2018-0000,2011-0025
2018-0000,2012-0113
2018-0000,2012-0161
2018-0000,2013-0009
2018-0000,2013-0016
2018-0000,2013-0141
2018-0000,2014-0023
2018-0000,2014-0116
2018-0000,2014-0198
2018-0000,2015-0080
2018-0000,2015-0100
2018-0000,2015-0113
2018-0000,2015-0156
2018-0000,2015-0171
2018-0000,2015-0187
2018-0000,2015-0249
2018-0000,2016-0117
2018-0000,2016-0142
2018-0000,2016-0358
2018-0000,2017-0018
2018-0000,2017-0038
2018-0000,2017-0095
2018-0000,2017-0249
2018-0000,2017-0294
2018-0000,2017-0336
2018-0000,2017-0396
2018-0000,2018-0090
2018-0000,2018-0260
2018-0001,1996-0015
2018-0001,2000-0002
2018-0001,2000-0006
2018-0001,2000-0026
2018-0001,2004-0029
2018-0001,2004-0039
2018-0001,2009-0004
2018-0001,2009-0010
2018-0001,2011-0038
2018-0001,2011-0090
2018-0001,2014-0022
2018-0001,2014-0072
2018-0001,2015-0082
2018-0001,2015-0135
2018-0001,2015-0154
2018-0001,2015-0184
2018-0001,2015-0193
2018-0001,2016-0091
2018-0001,2016-0179
2018-0001,2016-0252
2018-0001,2017-0038
2018-0001,2017-0116
2018-0001,2017-0142
2018-0001,2017-0323
2018-0002,2006-0032
2018-0002,2007-0072
2018-0002,2010-0018
2018-0002,2010-0064
2018-0002,2012-0023
2018-0002,2012-0068
2018-0002,2012-0144
2018-0002,2014-0003
2018-0002,2014-0007
2018-0002,2014-0040
2018-0002,2015-0013
2018-0002,2015-0046
2018-0002,2016-0024
2018-0002,2016-0050
2018-0002,2016-0120
2018-0002,2016-0133
2018-0002,2016-0203
2018-0002,2016-0311
2018-0002,2017-0019
2018-0002,2017-0041
2018-0002,2017-0131
2018-0002,2018-0090
2018-0002,2018-0174
2018-0002,2018-0185
2018-0002,2018-0214
2018-0003,1963-0000
2018-0003,1971-0000
2018-0003,1976-0006
2018-0003,1977-0000
2018-0003,1979-0000
2018-0003,1980-0005
2018-0003,1981-0004
2018-0003,1985-0003
2018-0003,1987-0000
2018-0003,1987-0009
2018-0003,1988-0006
2018-0003,1988-0007
2018-0003,1999-0030
2018-0003,1999-0040
2018-0003,2000-0032
2018-0003,2000-0042
2018-0003,2001-0002
2018-0003,2002-0002
2018-0003,2004-0001
2018-0003,2004-0035
2018-0003,2005-0064
2018-0003,2006-0002
2018-0003,2006-0010
2018-0003,2006-0013
2018-0003,2006-0041
2018-0003,2008-0047
2018-0003,2009-0051
2018-0003,2009-0071
2018-0003,2009-0084
2018-0003,2009-0112
2018-0003,2012-0005
2018-0003,2012-0099
2018-0003,2012-0115
2018-0003,2013-0003
2018-0003,2013-0011
2018-0003,2013-0018
2018-0003,2013-0033
2018-0003,2014-0164
2018-0003,2015-0162
2018-0003,2016-0075
2018-0004,1985-0003
2018-0004,1987-0001
2018-0004,1998-0041
2018-0004,2003-0046
2018-0004,2006-0052
2018-0004,2007-0069
2018-0004,2008-0041
2018-0004,2008-0061
2018-0004,2010-0010
2018-0004,2010-0098
2018-0004,2011-0002
2018-0004,2012-0162
2018-0004,2014-0014
2018-0004,2014-0171
2018-0004,2015-0025
2018-0004,2015-0047
2018-0004,2015-0070
2018-0004,2015-0120
2018-0004,2015-0151
2018-0004,2015-0187
2018-0004,2015-0264
2018-0004,2017-0038
2018-0004,2017-0267
2018-0004,2017-0309
2018-0005,1987-0003
2018-0005,2004-0024
2018-0005,2005-0055
2018-0005,2012-0115
2018-0005,2012-0142
2018-0005,2017-0038
2018-0005,2018-0020
2018-0005,2018-0022
2018-0005,2018-0178
2018-0005,2018-0276
2018-0005,2018-0342
2018-0005,2018-0387
2018-0005,2018-0535
2018-0006,1976-0003
