record_no,line_no,text
2021-0042,0,"the implementation of financial technology (fintech) in the islamic finance industry has created a totally new phenomenon of banking and financial behaviour for the stakeholders, particularly in malaysia."
2021-0042,1,"as part of the financial revolution, the islamic finance sector ought to embrace fintech to diversify the services/products offered as the digitalisation process is taking place in the fourth industrial revolution era."
2021-0042,2,"in order to safeguard the assimilation of the technology into the existing traditional practice of islamic finance, shariah-compliant regulation is, therefore, necessary for governing the potential risks associated throughout the process of financial activities."
2021-0042,3,"hence, this paper intends to analyse the need for shariah-compliant regulation to govern fintech-related activity in the islamic finance industry."
2021-0042,4,the article emphasises the need from several aspects such as the non-comprehensiveness of the islamic financial services act (ifsa) 2013. the increasing rate of financial inclusion and.
2021-0042,5,the qualifications of the shariah advisory council's (sac) members in malaysia.
2021-0042,6,it also provides recommendations through the introduction of subsidiary legislation pursuant to ifsa.
2021-0042,7,production of regulatory sandbox framework especially for islamic fintech firms.
2021-0042,8,and emphasis on the importance of sac members possessing knowledge in technological aspect in order to ensure the need for shariah-compliant regulation in the islamic finance industry is properly satisfied.
2021-0043,0,the fintech innovation of e-money products in the financial sector has not gained sufficient recognition in nigeria's developing country.
2021-0043,1,"despite the numerous economic benefits associated with this innovation, physical cash for financial transactions is still prevalent."
2021-0043,2,banks are still experiencing some level of cash withdrawals and deposits by individuals who refuse to embrace modern technology.
2021-0043,3,this study stresses the economic benefits of e-payment channels available today and statistically supports evidence to substantiate their usefulness.
2021-0043,4,"in this study, we use banks' e-money products as the independent variables, while gdp is employed as a proxy for the economy."
2021-0043,5,the data are collected from 2006-2019 and are analyzed with multiple regression techniques using e-views version 9 software.
2021-0043,6,the result shows that all banks' e-money products have a significant favorable influence on the economy except the pos that is yet to gain momentum.
2021-0043,7,"the study suggests the full implementation of the cashless policy, proper education of the populace and guidelines to check electronic fraud."
2021-0044,0,this paper conducted a comprehensive analysis based on bibliometrics and science mapping analysis.
2021-0044,1,"first, 848 publications were obtained from web of science."
2021-0044,2,"their fundamental characteristics were analyzed, including the types, annual publications, hot research directions, and foci (by theme analysis, co-occurrence analysis, and timeline analysis of author keywords)."
2021-0044,3,"next, the prolific objects (at the level of countries/regions, institutions, journals, and authors) and corresponding pivotal cooperative relationship networks were used to highlight who pays attention to fintech."
