Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Chatterjee S.","56857082100;","AI strategy of India: policy framework, adoption challenges and actions for government",2020,"Transforming Government: People, Process and Policy","14","5",,"757","775",,28,"10.1108/TG-05-2019-0031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085894631&doi=10.1108%2fTG-05-2019-0031&partnerID=40&md5=b6eb4f6950466bf8c3f3ab719bc8580f","Department of Management Studies, IIT Delhi, New Delhi, India","Chatterjee, S., Department of Management Studies, IIT Delhi, New Delhi, India","AI; Government; India; Policy; Regulation",,,,,,,,,,,,"Chatterjee, S.; Department of Management Studies, India; email: sheshadri.academic@gmail.com","Emerald Group Holdings Ltd.",17506166,,,,"English","Trans. Gov. People Process Policy",Article,"Final","",Scopus,2-s2.0-85085894631
"Caragea D., Chen M., Cojoianu T., Dobri M., Glandt K., Mihaila G.","35615386800;56134479300;57201117186;57222724173;57222727220;6602112067;","Identifying FinTech Innovations Using BERT",2020,"Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020",,,"9378169","1117","1126",,,"10.1109/BigData50022.2020.9378169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103831054&doi=10.1109%2fBigData50022.2020.9378169&partnerID=40&md5=3c072ad7d40099f8ce7a23071628d69e","Kansas State University, Department of Computer Science, Manhattan, KS, United States; Georgia State University, J. Mack Robinson College of Business, Atlanta, GA, United States; University College Dublin, Michael Smurfit Graduate Business School, Dublin, Ireland; University of North Texas, Department of Computer Science and Engineering, Denton, TX, United States","Caragea, D., Kansas State University, Department of Computer Science, Manhattan, KS, United States; Chen, M., Georgia State University, J. Mack Robinson College of Business, Atlanta, GA, United States; Cojoianu, T., University College Dublin, Michael Smurfit Graduate Business School, Dublin, Ireland; Dobri, M., Kansas State University, Department of Computer Science, Manhattan, KS, United States; Glandt, K., Kansas State University, Department of Computer Science, Manhattan, KS, United States; Mihaila, G., University of North Texas, Department of Computer Science and Engineering, Denton, TX, United States","BERT; Deep Learning; Financial Technologies; FinTech; Patent Classification","Abstracting; Convolutional neural networks; Fintech; Large dataset; Learning systems; Recurrent neural networks; Taxonomies; Benchmark datasets; Further works; Learning models; Patent applications; State of the art; US patents; Patents and inventions",,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728162515,,,"English","Proc. - IEEE Int. Conf. Big Data, Big Data",Conference Paper,"Final","",Scopus,2-s2.0-85103831054
"Moro-Visconti R., Rambaud S.C., Pascual J.L.","57221192852;6603781057;57204089183;","Sustainability in FinTechs: An explanation through business model scalability and market valuation",2020,"Sustainability (Switzerland)","12","24","10316","1","24",,9,"10.3390/su122410316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098508709&doi=10.3390%2fsu122410316&partnerID=40&md5=cb21cc7a50dc168449ae62f80ae0eba5","Department of Economics and Business Management Sciences, Università Cattolica del Sacro Cuore, Milan, 20123, Italy; Departamento de Economía y Empresa, Universidad de Almería, Almería, 04120, Spain; Departamento de Economía de la Empresa, Universidad Rey Juan Carlos, Vicálvaro, 28032, Spain","Moro-Visconti, R., Department of Economics and Business Management Sciences, Università Cattolica del Sacro Cuore, Milan, 20123, Italy; Rambaud, S.C., Departamento de Economía y Empresa, Universidad de Almería, Almería, 04120, Spain; Pascual, J.L., Departamento de Economía de la Empresa, Universidad Rey Juan Carlos, Vicálvaro, 28032, Spain","Digital platforms; Discounted cash flows; Financial ecosystem; Financial innovation; Market value; Scalability; Sustainable Development Goals; Value chains",,"Funding: This research has been equally funded by a research grant from the Università Cattolica del Sacro Cuore, Milan, Italy, and the Spanish Ministry of Economy and Competitiveness (grant number DER2016-76053R).",,,,,,,,,,"Moro-Visconti, R.; Department of Economics and Business Management Sciences, Italy; email: roberto.moro@unicatt.it","MDPI",20711050,,,,"English","Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098508709
"Puschmann T., Hoffmann C.H., Khmarskyi V.","6506557303;57190062996;57191737409;","How green fintech can alleviate the impact of climate change—The case of Switzerland",2020,"Sustainability (Switzerland)","12","24","10691","1","28",,4,"10.3390/su122410691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098331122&doi=10.3390%2fsu122410691&partnerID=40&md5=6200d56850423c51d08cd1431f84282b","Swiss FinTech Innovation Lab, Department of Banking and Finance, University of Zurich, Zurich, 8032, Switzerland","Puschmann, T., Swiss FinTech Innovation Lab, Department of Banking and Finance, University of Zurich, Zurich, 8032, Switzerland; Hoffmann, C.H., Swiss FinTech Innovation Lab, Department of Banking and Finance, University of Zurich, Zurich, 8032, Switzerland; Khmarskyi, V., Swiss FinTech Innovation Lab, Department of Banking and Finance, University of Zurich, Zurich, 8032, Switzerland","Climate change; Digital transformation; FinTech; Green FinTech; InsurTech; Sustainability","business development; climate change; climate effect; digitization; empirical analysis; financial services; literature review; sustainability; Switzerland","Funding: This research received funding from the Green Digital Finance Alliance for which we would like to thank Marianne Haahr and Katherine A. Foster.",,,,,,,,,,"Puschmann, T.; Swiss FinTech Innovation Lab, Switzerland; email: thomas.puschmann@uzh.ch","MDPI AG",20711050,,,,"English","Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098331122
"Suryono R.R., Budi I., Purwandari B.","57188804735;14021131100;56716397400;","Challenges and trends of financial technology (Fintech): A systematic literature review",2020,"Information (Switzerland)","11","12","590","1","20",,18,"10.3390/info11120590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098689732&doi=10.3390%2finfo11120590&partnerID=40&md5=d7f5469a9256c9d5f14b815f67619b3c","Faculty of Computer Science, Universitas Indonesia, Depok, 16424, Indonesia; Faculty of Engineering and Computer Science, Universitas Teknokrat Indonesia, Lampung, 35142, Indonesia","Suryono, R.R., Faculty of Computer Science, Universitas Indonesia, Depok, 16424, Indonesia, Faculty of Engineering and Computer Science, Universitas Teknokrat Indonesia, Lampung, 35142, Indonesia; Budi, I., Faculty of Computer Science, Universitas Indonesia, Depok, 16424, Indonesia; Purwandari, B., Faculty of Computer Science, Universitas Indonesia, Depok, 16424, Indonesia","Financial technology; Fintech; Meta-analysis; Systematic literature review; Thematic analysis","Cryptocurrency; Engineering research; Quality control; Digital transformation; Financial industry; Research challenges; Research potential; State of the art; Systematic literature review; Technology research; Thematic analysis; Fintech","Funding: This research was funded by the Doctoral Research Grant from the Ministry of Research and Technology /National Research and Innovation Agency of the Republic of Indonesia, contract number NKB-387/UN2.RST/HKP.05.00/2020",,,,,,,,,,"Budi, I.; Faculty of Computer Science, Indonesia; email: indra@cs.ui.ac.id","MDPI AG",20782489,,,,"English","Information",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098689732
"Ryan P., Pandit H.J., Brennan R.","57219131815;57190943010;36447456700;","A common semantic model of the GDPR register of processing activities",2020,"Frontiers in Artificial Intelligence and Applications","334",,,"251","254",,3,"10.3233/FAIA200876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098673323&doi=10.3233%2fFAIA200876&partnerID=40&md5=e08b24439effe72dbd6623702999c245","Adapt, School of Computing, Dublin City University, Dublin 9, Ireland; Adapt, Trinity College Dublin, Dublin 2, Ireland; Uniphar Plc, Dublin, Ireland","Ryan, P., Adapt, School of Computing, Dublin City University, Dublin 9, Ireland, Uniphar Plc, Dublin, Ireland; Pandit, H.J., Adapt, Trinity College Dublin, Dublin 2, Ireland; Brennan, R., Adapt, School of Computing, Dublin City University, Dublin 9, Ireland","GDPR; Regulatory Compliance; Semantic Web","Information systems; Information use; Semantics; Common semantic models; Concept definitions; Processing activity; Data privacy","1Corresponding Author: Paul Ryan, Email: paul.ryan76@mail.dcu.ie . This work is partially supported by Uniphar PLC. and the ADAPT Centre for Digital Content Technology which is funded under the SFI Research Centre’s Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund. 2 IAPP. https://iapp.org/resources/article/measuring-privacy-operations/.",,,,,,,,,,"Ryan, P.; Adapt, Ireland; email: paul.ryan76@mail.dcu.ie","IOS Press BV",09226389,9781643681504,,,"English","Front. Artif. Intell. Appl.",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85098673323
"Leone V., Di Caro L.","57197734161;57207954874;","The role of vocabulary mediation to discover and represent relevant information in privacy policies",2020,"Frontiers in Artificial Intelligence and Applications","334",,,"73","82",,3,"10.3233/FAIA200851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098636492&doi=10.3233%2fFAIA200851&partnerID=40&md5=e3cd8ff6a9dfee9912246708a63e479e","Computer Science Department, University of Turin, Italy","Leone, V., Computer Science Department, University of Turin, Italy; Di Caro, L., Computer Science Department, University of Turin, Italy","Data protection; Legal vocabularies; Ontology population; Text similarity","Information retrieval; Information systems; Information use; Interoperability; Natural language processing systems; Semantics; Turing machines; Automatic processing; Domain specific; NAtural language processing; Privacy policies; Protection domains; Semantic resources; Shared representations; Textual information; Data privacy",,,,,,,,,,,"Leone, V.; Computer Science Department, Italy; email: valentina.leone@unito.it","IOS Press BV",09226389,9781643681504,,,"English","Front. Artif. Intell. Appl.",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85098636492
"Khoruzhy L.I., Karabasheva M.R., Hajiyev H.A., Zhadobina N.N., Alekhina N.A., Shichiyakh R.A.","57203202583;57205264446;57213620589;57220212277;57210971811;57094051900;","Controlled foreign companies: Influence on the sovereignty of the national tax base",2020,"Entrepreneurship and Sustainability Issues","8","2",,"33","50",,1,"10.9770/jesi.2020.8.2(2)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097278386&doi=10.9770%2fjesi.2020.8.2%282%29&partnerID=40&md5=fecafc9c68c4464c8f071b23f9ac8779","Russian State Agrarian University-Moscow Timiryazev Agricultural Academy, Timiryazevskaya street, 49, Moscow, 127550, Russian Federation; Financial University under the Government of the Russian Federation, Leningradsky Prospekt, 49, Moscow, 125993, Russian Federation; Azerbaijan State University of Economics (UNEC), Istiqlaliyyat street 6, Baku, AZ1001, Azerbaijan; Surgut State University, Lenin Ave., 1, Surgut, KhMAO-Ugra, 628403, Russian Federation; Sechenov First Moscow State Medical University of the Ministry of Health of the Russian Federation, Bolshaya Pirogovskaya str., 19/1, Moscow, 119146, Russian Federation; Kuban State Agrarian University named after I.T. Trubilin, Kalinina street 13 Krasnodar region, Krasnodar, 350044, Russian Federation","Khoruzhy, L.I., Russian State Agrarian University-Moscow Timiryazev Agricultural Academy, Timiryazevskaya street, 49, Moscow, 127550, Russian Federation; Karabasheva, M.R., Financial University under the Government of the Russian Federation, Leningradsky Prospekt, 49, Moscow, 125993, Russian Federation; Hajiyev, H.A., Azerbaijan State University of Economics (UNEC), Istiqlaliyyat street 6, Baku, AZ1001, Azerbaijan; Zhadobina, N.N., Surgut State University, Lenin Ave., 1, Surgut, KhMAO-Ugra, 628403, Russian Federation; Alekhina, N.A., Sechenov First Moscow State Medical University of the Ministry of Health of the Russian Federation, Bolshaya Pirogovskaya str., 19/1, Moscow, 119146, Russian Federation; Shichiyakh, R.A., Kuban State Agrarian University named after I.T. Trubilin, Kalinina street 13 Krasnodar region, Krasnodar, 350044, Russian Federation","Controlling person; Income tax; Income tax rate; National sovereignty; Tax base",,,,,,,,,,,,"Khoruzhy, L.I.; Russian State Agrarian University-Moscow Timiryazev Agricultural Academy, Timiryazevskaya street, 49, Russian Federation; email: dka1955@mail.ru","Entrepreneurship and Sustainability Center",23450282,,,,"English","Entrep. Sustain. Issues",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85097278386
"Muthukannan P., Tan B., Gozman D., Johnson L.","57211041075;21834632200;55490621900;57219534262;","The emergence of a Fintech Ecosystem: A case study of the Vizag Fintech Valley in India",2020,"Information and Management","57","8","103385","","",,7,"10.1016/j.im.2020.103385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093679160&doi=10.1016%2fj.im.2020.103385&partnerID=40&md5=265084099da8d67e8c96623762273839","Business Information Systems, The University of Sydney, Sydney, Australia; GITAM Institute of Management, Vishakhapatnam, Andhra Pradesh, India","Muthukannan, P., Business Information Systems, The University of Sydney, Sydney, Australia; Tan, B., Business Information Systems, The University of Sydney, Sydney, Australia; Gozman, D., Business Information Systems, The University of Sydney, Sydney, Australia; Johnson, L., GITAM Institute of Management, Vishakhapatnam, Andhra Pradesh, India","Case study; Complex adaptive systems; Ecosystem emergence; Fintech; India","Adaptive systems; Complex networks; Fintech; Complex adaptive systems; Cultural changes; End customers; Financial products; Knowledge gaps; Network of agents; Non linear; Research papers; Ecosystems",,,,,,,,,,,"Muthukannan, P.; Business Information Systems, Rm 4074 H70 Abercrombie Building, Australia; email: priya.muthukannan@sydney.edu.au","Elsevier B.V.",03787206,,IMAND,,"English","Inf Manage",Article,"Final","",Scopus,2-s2.0-85093679160
"Uddin M.H., Ali M.H., Hassan M.K.","34973459800;57202208752;57192805490;","Cybersecurity hazards and financial system vulnerability: a synthesis of literature",2020,"Risk Management","22","4",,"239","309",,5,"10.1057/s41283-020-00063-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089562416&doi=10.1057%2fs41283-020-00063-2&partnerID=40&md5=d5ba0906b239e98fc50ee3e1de2ca289","University of Southampton, Malaysia Campus, No. 3, Persiaran Canselor 1, Kota Ilmu Educity, Iskandar, Nusajaya, Johor  79200, Malaysia; Faculty of Business and Law, Taylor’s University, No 1, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia; Department of Economics and Finance, University of New Orleans, 438 Kirschman Hall, 2000 Lakeshore Drive, New Orleans, LA  70148, United States","Uddin, M.H., University of Southampton, Malaysia Campus, No. 3, Persiaran Canselor 1, Kota Ilmu Educity, Iskandar, Nusajaya, Johor  79200, Malaysia, Faculty of Business and Law, Taylor’s University, No 1, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia; Ali, M.H., Faculty of Business and Law, Taylor’s University, No 1, Jalan Taylor’s, Subang Jaya, Selangor  47500, Malaysia; Hassan, M.K., Department of Economics and Finance, University of New Orleans, 438 Kirschman Hall, 2000 Lakeshore Drive, New Orleans, LA  70148, United States","Bank operational risks; Banking stability; Cyber risk; Cybersecurity; Institutional performance; IT costs",,"Acknowledgements This paper is the first output of Taylor’s University’s flagship research project # TUFR/2017/004/05. Md Hamid Uddin led this project over the last three years. He recently moved to the University of Southampton - Malaysia Campus yet engaged with the project until completion of research outputs and obligations under the funding contract. Md Hakim Ali worked as the research scholar while Mohammad Kabir Hassan is an external collaborator who has intellectual contribution in developing this manuscript. The first version of this paper was presented at the Annual Financial Liquidity Conference 2018, Budapest, Hungary. We acknowledge the valuable suggestions received from Igor Lončarski (University of Ljubljana) and Seema Narayan (RMIT University Australia). We thank Mohammed Sawkat Hossain, who helped us at the beginning of literature searching. We appreciate the contribution of David Asirvatham Nor Shaipah Abdul Wahab and Vinitha Guptan at Taylor’s University and Sabur Mollah at Sheffield University in launching this project three years ago. We are grateful to David Asirvatham (leader of Data Analytics, Modeling and Visualization research program) and Centre for Research Management at Taylor’s University for extending full support in implementing the project.",,,,,,,,,,"Uddin, M.H.; University of Southampton, No. 3, Persiaran Canselor 1, Kota Ilmu Educity, Iskandar, Malaysia; email: iba_hu@yahoo.com","Palgrave Macmillan",14603799,,,,"English","Risk Manage.",Article,"Final","",Scopus,2-s2.0-85089562416
