Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Wiśniewski R., Oleksiuk I., Iwanowska B.","55325762100;57387517800;55751773200;","Privacy of european citizens in the face of the development of new data-driven business models",2021,"Contemporary Economics","15","4",,"442","456",,,"10.5709/ce.1897-9254.459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121840942&doi=10.5709%2fce.1897-9254.459&partnerID=40&md5=07c51fe99ecaca652bfc224ccca71ec7","University of Economics and Human Sciences in Warsaw, Poland","Wiśniewski, R., University of Economics and Human Sciences in Warsaw, Poland; Oleksiuk, I., University of Economics and Human Sciences in Warsaw, Poland; Iwanowska, B., University of Economics and Human Sciences in Warsaw, Poland","Confidentiality of communications; Data-Driven Business Models; Identity; Image; Personal information; Right to be forgotten; Right to privacy",,"The results of research and this work was supported by Kobaltsky Welding, Tech Production s.r.o. and the Department of Air Transport at the UniverVLW\ RI äLOLna",,,,,,,,,,"Wiśniewski, R.; University of Economics and Human Sciences in Warsaw, Okopowa 59, Poland; email: r.wisniewski@vizja.pl","University of Economics and Human Sciences in Warsaw",20840845,,,,"English","Contemp. Econ.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85121840942
"Bekemeier F.","57482251500;","Deceptive Assurance? A onceptual View on Systemic Risk in Decentralized Finance (DeFi)",2021,"ACM International Conference Proceeding Series",,,,"76","87",,,"10.1145/3510487.3510499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126066630&doi=10.1145%2f3510487.3510499&partnerID=40&md5=232036942651441f1125fc684d76dd62","University of Basel, Switzerland","Bekemeier, F., University of Basel, Switzerland","Blockchain technology; Decentralized Finance; Systemic risk","Blockchain; Ecosystems; Block-chain; Blockchain technology; Decentralised; Decentralized finance; Financial system; Research frameworks; Systemic risks; Finance",,,,,,,,,,,"Bekemeier, F.; University of BaselSwitzerland; email: felix.bekemeier@unibas.ch","Association for Computing Machinery",,9781450387460,,,"English","ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85126066630
"Alshantti A., Rasheed A.","57390760000;36835813200;","Self-Organising Map Based Framework for Investigating Accounts Suspected of Money Laundering",2021,"Frontiers in Artificial Intelligence","4",,"761925","","",,,"10.3389/frai.2021.761925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121983364&doi=10.3389%2ffrai.2021.761925&partnerID=40&md5=ffff0c99aa743dbb45ef25d0f0fe4add","Department of Engineering Cybernetics, Norwegian University of Science and Technology, Trondheim, Norway; Department of Mathematics and Cybernetics, SINTEF Digital, Trondheim, Norway","Alshantti, A., Department of Engineering Cybernetics, Norwegian University of Science and Technology, Trondheim, Norway; Rasheed, A., Department of Engineering Cybernetics, Norwegian University of Science and Technology, Trondheim, Norway, Department of Mathematics and Cybernetics, SINTEF Digital, Trondheim, Norway","investigation strategies; money laundering; risk levels; self-organising map (SOM); suspicious accounts",,"This work was supported by DNB through the funding of this project and providing the data for the purpose of this research.",,,,,,,,,,"Alshantti, A.; Department of Engineering Cybernetics, Norway; email: abdallah.a.s.alshantti@ntnu.no","Frontiers Media S.A.",26248212,,,,"English","Frontier. Artif. Intell.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85121983364
"Hickey D., Brennan R.","57393643900;36447456700;","A GDPR International Transfer Compliance Framework Based on an Extended Data Privacy Vocabulary (DPV)",2021,"Frontiers in Artificial Intelligence and Applications","346",,,"161","170",,,"10.3233/FAIA210332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122070982&doi=10.3233%2fFAIA210332&partnerID=40&md5=97787970dc60f0c87a1c1e47e91a029b","ADAPT Centre, School of Computing, Dublin City University, Dublin, Ireland; Dublin City University, Dublin, Ireland","Hickey, D., ADAPT Centre, School of Computing, Dublin City University, Dublin, Ireland, Dublin City University, Dublin, Ireland; Brennan, R., ADAPT Centre, School of Computing, Dublin City University, Dublin, Ireland","Compliance; Data Protection; DPV; GDPR; International Transfer; Privacy","Software prototyping; Software testing; Compliance; Data privacy vocabulary; Evaluation results; GDPR; International transfer; New terms; Privacy; Prototype software; Software-tools; Working groups; Data privacy","This research has received funding from the ADAPT Centre for Digital Content Technology, funded under the SFI Research Centres Programme (Grant 13/RC/2106\_P2), co-funded by the European Regional Development Fund. For the purpose of Open Access, the author has applied a CC BY public copyright licence to any Author Accepted Manuscript version arising from this submission.",,,,,,,,,,,"IOS Press BV",09226389,9781643682525,,,"English","Front. Artif. Intell. Appl.",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85122070982
"Baber H.","57194519403;","Financial inclusion and crowdfunding-a study of european countries",2021,"Review of Applied Socio-Economic Research","22","2",,"37","48",,,"10.54609/reaser.v22i2.104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120750396&doi=10.54609%2freaser.v22i2.104&partnerID=40&md5=608aa564bca847648363a07529c1bba6","Endicott College of International Studies, Woosong University, Daejeon, South Korea","Baber, H., Endicott College of International Studies, Woosong University, Daejeon, South Korea","Crowdfunding; Europe; Financial Inclusion; Fintech; Poverty",,"This research was funded by Woosong University Academic Research in 2021.",,,,,,,,,,"Baber, H.; Endicott College of International Studies, South Korea; email: h.baber@endicott.ac.kr","Pro Global Science Association",22476172,,,,"English","Rev. Appl. Socio-Econ. Res.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85120750396
"Kandpal V., Kaur H.","57208154209;57213128957;","Pradhan Mantri Jan Dhan Yojana: Bringing Financial Inclusion to Reality in India",2021,"Finance India","35","4",,"1367","1380",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122267428&partnerID=40&md5=1f01a1628575701efa9fb5bb4659340a","UPES School of Business, Dehradun, India; Faculty of Management Sir J. C. Bose Technical Campus, Uttarakhand, Bhimtal, 263136, India; Jharkhand Rai University, Ratu Road, Chanakyapuri Colony, Kamre, Jharkhand835222, India","Kandpal, V., UPES School of Business, Dehradun, India, Faculty of Management Sir J. C. Bose Technical Campus, Uttarakhand, Bhimtal, 263136, India; Kaur, H., Jharkhand Rai University, Ratu Road, Chanakyapuri Colony, Kamre, Jharkhand835222, India","Financial; Inclusion; Instruments; Jan Dhan; Unbanked",,,,,,,,,,,,,"Indian Institute of Finance",09703772,,,,"English","Finance India",Article,"Final","",Scopus,2-s2.0-85122267428
"Yeung K.","26656422100;","The Health Care Sector's Experience of Blockchain: A Cross-disciplinary Investigation of Its Real Transformative Potential",2021,"Journal of Medical Internet Research","23","12","e24109","","",,,"10.2196/24109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121972109&doi=10.2196%2f24109&partnerID=40&md5=6ea4b4dfb694913ab490a74c86ba09d4","Birmingham Law School, School of Computer Science, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom","Yeung, K., Birmingham Law School, School of Computer Science, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom","Blockchain; Computer security; Data sharing; Electronic health record; Health information management; Health information systems; Health services administration; Mobile phone; Privacy of patient data","algorithm; Article; blockchain; data integrity; data interoperability; electronic health record; health care organization; health care system; information security; interdisciplinary research; medical information system; medical research; patient coding; privacy; proof of concept; standardization; theoretical study; trust; United Kingdom; United States; health care cost; health care delivery; human; Blockchain; Delivery of Health Care; Electronic Health Records; Health Care Sector; Humans; Privacy","The author gratefully acknowledges funding support from the Wellcome Trust, grant reference number: 210337/Z/18/Z, “Regulating healthcare through blockchain: Mapping the legal, ethical, technical and governance challenges.” The author is grateful for the research and administrative assistance provided by Immaculate Motsi-Omoijiade and Alexander Kharlamov and for the editing and proofreading assistance provided by PhD candidate Nathalie Smuha. The author is also indebted to those who participated in the focus group meetings convened for the purposes of this study, including John Halamka for his support and encouragement. Special thanks are due to colleagues who kindly read and commented on earlier drafts: Atina Krajewska, Muireann Quigley, Natalie Pankova, Barbara Prainsack, and Mark Taylor. All errors remain the author’s own. Further information about the project is available on the web [186].",,,,,,,,,,"Yeung, K.; Birmingham Law School, Edgbaston, United Kingdom; email: k.yeung@bham.ac.uk","JMIR Publications Inc.",14388871,,,"34932009","English","J. Med. Internet Res.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85121972109
"McDonald N., McKenna L., Vining R., Doyle B., Liang J., Ward M.E., Ulfvengren P., Geary U., Guilfoyle J., Shuhaiber A., Hernandez J., Fogarty M., Healy U., Tallon C., Brennan R.","7102833144;57194278266;57355534400;57355393700;57222038541;23092562600;6505964527;7801661350;57555920700;57202425124;57274681000;57355811400;57355955600;57355677400;36447456700;","Evaluation of an access-risk-knowledge (Ark) platform for governance of risk and change in complex socio-technical systems",2021,"International Journal of Environmental Research and Public Health","18","23","12572","","",,2,"10.3390/ijerph182312572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120038150&doi=10.3390%2fijerph182312572&partnerID=40&md5=b5c5b96adff0c83d2855a667694c970c","Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland; ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; KTH Royal Institute of Technology, Industrial Economics and Management, 100 44 Stockholm, Sweden; Beacon Renal, Sandyford Business Park, Dublin, D18 TH56, Ireland","McDonald, N., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland; McKenna, L., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Vining, R., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland; Doyle, B., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland, Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Liang, J., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Ward, M.E., Centre for Innovative Human Systems, School of Psychology, Trinity College, The University of Dublin, Dublin, D02 PN40, Ireland, Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Ulfvengren, P., KTH Royal Institute of Technology, Industrial Economics and Management, 100 44 Stockholm, Sweden; Geary, U., Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Guilfoyle, J., Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Shuhaiber, A., Beacon Renal, Sandyford Business Park, Dublin, D18 TH56, Ireland; Hernandez, J., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland; Fogarty, M., Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Healy, U., Quality and Safety Improvement Directorate, St. James’s Hospital Dublin, Dublin, D08 NHY1, Ireland; Tallon, C., Health and Safety Unit, Dublin Fire Brigade, Dublin, D02 RY99, Ireland; Brennan, R., ADAPT Centre, School of Computing, Dublin City University, Dublin, D09 PX21, Ireland","Access Risk Knowledge (ARK); COVID-19; Infection prevention control; Knowledge engineering platform; Mindful governance; Risk in change; Socio-technical systems; System change; Systems engineering","COVID-19; disease control; governance approach; health care; infectious disease; knowledge; access risk knowledge; Article; follow up; health care organization; health care quality; healthcare associated infection; infection control; infection prevention; information processing; knowledge management; risk management; society; socio technical system; technology; total quality management; government; health care delivery; health care facility; knowledge; organization; Delivery of Health Care; Government Programs; Health Facilities; Knowledge; Organizations","Funding: This research was conducted with the financial support of SFI under Grant Agreement No. 20/COV/8463 at the ADAPT SFI Research Centre at Dublin City University and Trinity College Dublin. The ADAPT SFI Centre for Digital Content Technology is funded by Science Foundation Ireland through the SFI Research Centres Programme and is co-funded under the European Regional Development Fund (ERDF) through Grant \#13/RC/2106\_P2. The training delivered was developed with the financial support of the EU Erasmus+ Project through Operational Risk: Implementing Open Norms (ORION), Project Number 2018-1-IE01-KA202-038820. For the purpose of Open Access, the author has applied a CC BY public copyright licence to any Author-Accepted Manuscript version arising from this submission.",,,,,,,,,,"Vining, R.; Centre for Innovative Human Systems, Ireland; email: rvining@tcd.ie","MDPI",16617827,,,"34886304","English","Int. J. Environ. Res. Public Health",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85120038150
"Li B., Xu Z.","57212091389;55502698400;","Insights into financial technology (FinTech): a bibliometric and visual study",2021,"Financial Innovation","7","1","69","","",,4,"10.1186/s40854-021-00285-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116492141&doi=10.1186%2fs40854-021-00285-7&partnerID=40&md5=97af78eea4469a6766edb4d389898df6","College of Statistics and Mathematics, Zhejiang Gongshang University, Hangzhou, 610064, China; Business School, Sichuan University, Chengdu, 610064, China","Li, B., College of Statistics and Mathematics, Zhejiang Gongshang University, Hangzhou, 610064, China; Xu, Z., Business School, Sichuan University, Chengdu, 610064, China","Bibliometric analysis; Citation structure; Development trends; FinTech; Visualization networks",,"This work was funded by the National Natural Science Foundation of China under Grant 71771155.",,,,,,,,,,"Xu, Z.; Business School, China; email: xuzeshui@263.net","Springer Science and Business Media Deutschland GmbH",21994730,,,,"English","Financial Innov.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116492141
"Lu X., Guo J., Zhou H.","57204478600;57216211188;57275137700;","Digital financial inclusion development, investment diversification, and household extreme portfolio risk",2021,"Accounting and Finance","61","5",,"6225","6261",,2,"10.1111/acfi.12863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115824605&doi=10.1111%2facfi.12863&partnerID=40&md5=297dc4a4624c7ec87c9101b342a4951e","Survey and Research Center for China Household Finance, Southwestern University of Finance and Economics, Chengdu, China; Guotai Junan Securities, Shanghai, China; School of Political Science and Public Administration, Shandong University, Jinan, China","Lu, X., Survey and Research Center for China Household Finance, Southwestern University of Finance and Economics, Chengdu, China; Guo, J., Guotai Junan Securities, Shanghai, China; Zhou, H., School of Political Science and Public Administration, Shandong University, Jinan, China","Digital inclusion; Diversification; Extreme portfolio risk; Traditional financial development",,"To complete this study, Xiaomeng Lu received support from the Youth Program of National Natural Science Foundation of China (Number: 72003149).",,,,,,,,,,"Zhou, H.; School of Political Science and Public Administration, China; email: tianxielingling@163.com","John Wiley and Sons Inc",08105391,,,,"English","Account. Financ.",Article,"Final","",Scopus,2-s2.0-85115824605
