Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Text 1,Funding Text 2,Correspondence Address,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Sun H., Edziah B.K., Kporsu A.K., Sarkodie S.A., Taghizadeh-Hesary F.","56645203200;57204956778;57211119040;57105546200;56291956400;","Energy efficiency: The role of technological innovation and knowledge spillover",2021,"Technological Forecasting and Social Change","167",,"120659","","",,99,"10.1016/j.techfore.2021.120659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101411893&doi=10.1016%2fj.techfore.2021.120659&partnerID=40&md5=886229eeb1827aa393126429add02368","Institute of Industrial Economics, Jiangsu University, Zhenjiang, 212013, China; Nord University Business School (HHN), Post Box 1490, Bodø, 8049, Norway; Social Science Research Institute, Tokai University, Hiratsuka-shi, Kanagawa-ken  259-1292, Japan","Sun, H., Institute of Industrial Economics, Jiangsu University, Zhenjiang, 212013, China; Edziah, B.K., Institute of Industrial Economics, Jiangsu University, Zhenjiang, 212013, China; Kporsu, A.K., Institute of Industrial Economics, Jiangsu University, Zhenjiang, 212013, China; Sarkodie, S.A., Nord University Business School (HHN), Post Box 1490, Bodø, 8049, Norway; Taghizadeh-Hesary, F., Social Science Research Institute, Tokai University, Hiratsuka-shi, Kanagawa-ken  259-1292, Japan","Energy efficiency; Innovation; Knowledge spillover; Patent; Technology","Binary alloys; Economics; Patents and inventions; Potassium alloys; Public policy; Research and development management; Sustainable development; Uranium alloys; Developed countries; Domestic research; Environmental sustainability; Global economic growth; Knowledge spillovers; Policy implications; Sustainable energy management; Technological innovation; Energy efficiency; energy efficiency; growth rate; innovation; intellectual property rights; knowledge; OECD; research and development; spillover effect; France; Germany; Netherlands; Switzerland; United Kingdom","The authors appreciate the valuable comments of anonymous reviewers. We are also grateful for the financial support provided by the National Natural Science Foundation of China (No. 71774071 , 71810107001 , 72074186 , 71673230 ).",,"Sun, H.; Institute of Industrial Economics, China; email: shp@ujs.edu.cn","Elsevier Inc.",00401625,,,,"English","Technol. Forecast. Soc. Change",Article,"Final","",Scopus,2-s2.0-85101411893
"Le T.N.-L., Abakah E.J.A., Tiwari A.K.","57219435753;57201553044;57204698496;","Time and frequency domain connectedness and spill-over among fintech, green bonds and cryptocurrencies in the age of the fourth industrial revolution",2021,"Technological Forecasting and Social Change","162",,"120382","","",,49,"10.1016/j.techfore.2020.120382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092736588&doi=10.1016%2fj.techfore.2020.120382&partnerID=40&md5=6a86370f6d78c05906d6d058c08d94e5","The University of Sydney, Business School, Australia; University of Finance-Marketing, Viet Nam; The University of Adelaide, Business School, Australia; Rajagiri Business School, Rajagiri Valley Campus, Kochi, India","Le, T.N.-L., The University of Sydney, Business School, Australia, University of Finance-Marketing, Viet Nam; Abakah, E.J.A., The University of Adelaide, Business School, Australia; Tiwari, A.K., Rajagiri Business School, Rajagiri Valley Campus, Kochi, India","Equity and other prices; Fintech; Fourth industrial revolution; Green bonds; Portfolio diversification","Cryptocurrency; Fintech; Frequency domain analysis; Gold; Green manufacturing; Industry 4.0; Transmissions; Daily datum; Financial assets; Hedging instruments; High probability; Industrial revolutions; Shock transmission; Time and frequency domains; Volatility transmissions; Financial markets; automation; currency; equity; innovation; spillover effect; stock market; Matthiola incana",,,"Le, T.N.-L.; The University of Sydney, Australia; email: lan.le@sydney.edu.au","Elsevier Inc.",00401625,,,,"English","Technol. Forecast. Soc. Change",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85092736588
"Momtaz P.P.","57207112506;","Entrepreneurial Finance and Moral Hazard: Evidence from Token Offerings",2021,"Journal of Business Venturing","36","5","106001","","",,33,"10.1016/j.jbusvent.2020.106001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081644650&doi=10.1016%2fj.jbusvent.2020.106001&partnerID=40&md5=f3639fda3a1948d0a49124c1171f8ad5","UCLA Anderson School of Management, 110 Westwood Plaza, Suite C.402, Los Angeles, CA  90095, United States","Momtaz, P.P., UCLA Anderson School of Management, 110 Westwood Plaza, Suite C.402, Los Angeles, CA  90095, United States","Blockchain; Crowdfunding; Cryptocurrencies; Initial coin offering (ICO); Moral hazard; Signaling; Token offering; Token sale",,"I wish to thank Christian Fisch, Barney Hartman-Glaser, Daniel Rabetti, and Mariko Sakakibara as well as seminar participants at Hamburg University, and at UCLA's corporate finance and innovation seminars for helpful comments. I gratefully acknowledge financial support for this research project from the Price Center for Entrepreneurship and Innovation at UCLA.",,,"Elsevier Inc.",08839026,,JBVEE,,"English","J. Bus. Venturing",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85081644650
"Muganyi T., Yan L., Sun H.-P.","57211924905;57218104231;56645203200;","Green finance, fintech and environmental protection: Evidence from China",2021,"Environmental Science and Ecotechnology","7",,"100107","","",,30,"10.1016/j.ese.2021.100107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109452934&doi=10.1016%2fj.ese.2021.100107&partnerID=40&md5=9231943cdee8b61fe94f20c820ccde12","Shanghai University School of Economics, Baoshan, Shanghai, China; Warwick Business School, The University of Warwick, Coventry, CV4 7AL, United Kingdom; Jiangsu UniversityZhejiang, China","Muganyi, T., Shanghai University School of Economics, Baoshan, Shanghai, China, Warwick Business School, The University of Warwick, Coventry, CV4 7AL, United Kingdom; Yan, L., Shanghai University School of Economics, Baoshan, Shanghai, China; Sun, H.-P., Jiangsu UniversityZhejiang, China","Environmental protection; Fintech; Green consumption; Green finance",,"Key Program of National Social Science Fund of China ( 21AZD067 ).",,"Sun, H.-P.; Jiangsu UniversityChina; email: shp@ujs.edu.cn","Elsevier B.V.",26664984,,,,"English","Environ. Sci. Ecotechnol.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85109452934
"Mogaji E., Soetan T.O., Kieu T.A.","56823605700;57216897338;57207829434;","The implications of artificial intelligence on the digital marketing of financial services to vulnerable customers",2021,"Australasian Marketing Journal","29","3",,"235","242",,28,"10.1016/j.ausmj.2020.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085169156&doi=10.1016%2fj.ausmj.2020.05.003&partnerID=40&md5=bc973428b75d95c00b45fb8e88594382","University of Greenwich, London, United Kingdom; Red River College, Winnipeg, Canada; University of Economics and Finance, Ho Chi Minh, Viet Nam","Mogaji, E., University of Greenwich, London, United Kingdom; Soetan, T.O., Red River College, Winnipeg, Canada; Kieu, T.A., University of Economics and Finance, Ho Chi Minh, Viet Nam","AI; Digital marketing; Financial services; Vulnerable customers",,,,"Mogaji, E.; University of GreenwichUnited Kingdom; email: e.o.mogaji@greenwich.ac.uk","SAGE Publications Ltd",14413582,,,,"English","Australas. Mark. J.",Article,"Final","",Scopus,2-s2.0-85085169156
"Sheng T.","57216927366;","The effect of fintech on banks’ credit provision to SMEs: Evidence from China",2021,"Finance Research Letters","39",,"101558","","",,25,"10.1016/j.frl.2020.101558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085314524&doi=10.1016%2fj.frl.2020.101558&partnerID=40&md5=97cf5a8dab0b5313d1714f4aa5c5668d","College of Finance, Nanjing Agricultural University, Nanjing, 210095, China","Sheng, T., College of Finance, Nanjing Agricultural University, Nanjing, 210095, China","Bank credit; Financial technology; Fintech; Sizes of banks; Small and medium enterprises",,"Funding Resources : This work is supported by National Natural Science Foundation of China (Grant number 71803081); Foundation of the National Ministry of Education of China (Grant numbers 18YJC790134, IRT_17R52); Research Funds for the Central Universities in Nanjing Agricultural University (Grant numbers SKYZ2018026, KJQN201953).",,,"Elsevier Ltd",15446123,,,,"English","Finan. Res. Lett.",Article,"Final","",Scopus,2-s2.0-85085314524
"Wang Y., Xiuping S., Zhang Q.","57207260049;56131413000;57219965087;","Can fintech improve the efficiency of commercial banks? —An analysis based on big data",2021,"Research in International Business and Finance","55",,"101338","","",,19,"10.1016/j.ribaf.2020.101338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096325153&doi=10.1016%2fj.ribaf.2020.101338&partnerID=40&md5=c234a9fad67c4415c2d2caf3f656c75e","School of Economics, Capital University of Economics and Business, China; School of International Economics, University of International Business and Economics, China; China institute for WTO Studies, University of international Business and Economics","Wang, Y., School of Economics, Capital University of Economics and Business, China; Xiuping, S., School of International Economics, University of International Business and Economics, China; Zhang, Q., China institute for WTO Studies, University of international Business and Economics","Commercial Bank; Fintech; TFP",,"This research was supported by Beijing Municipal Social Science Foundation (No. 18JDYJB001 ), Ministry of Education of Humanities and Social Science Youth Project (No. 18YJC790212 ), Ministry of Education of Humanities and Social Science Project (No. 18YJC790154 ).",,"Wang, Y.; School of International Economics, China; email: rucwy@126.com","Elsevier Ltd",02755319,,,,"English","Res. Int. Bus. Financ.",Article,"Final","",Scopus,2-s2.0-85096325153
"Alansari Y., Musleh Al-Sartawi A.M.A.","57223108094;57191107039;","IT governance and E-banking in GCC listed banks",2021,"Procedia Computer Science","183",,,"844","848",,17,"10.1016/j.procs.2021.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104842019&doi=10.1016%2fj.procs.2021.03.008&partnerID=40&md5=090eb357ec271e12bad2fceb05db059d","Ahli United Bank, Manama, Bahrain; Ahlia University, Manama, Bahrain","Alansari, Y., Ahli United Bank, Manama, Bahrain; Musleh Al-Sartawi, A.M.A., Ahlia University, Manama, Bahrain","Corporate Governance; E-Banking; GCC; IT Governance; Listed Banks","'current; Banking IS; Banking sectors; Banking services; Corporate governance; E-banking; Elsevier; GCC; IT governance; Listed banks; Electronic commerce",,,"Musleh Al-Sartawi, A.M.A.; Ahlia UniversityBahrain; email: amasartawi@hotmail.com","Elsevier B.V.",18770509,,,,"English","Procedia Comput. Sci.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85104842019
"Hannoon A., Al-Sartawi A.M.A.M., Khalid A.A.","57204502013;57191107039;57194470447;","Relationship Between Financial Technology and Financial Performance",2021,"Studies in Computational Intelligence","974",,,"337","344",,16,"10.1007/978-3-030-73057-4_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107062755&doi=10.1007%2f978-3-030-73057-4_26&partnerID=40&md5=2b983ad8901d0e453a3a060b75554a89","American University in the Emirates, Dubai, United Arab Emirates; Ahlia University, Manama, Bahrain; Universiti Pendidikan Sultan Idris, Perak, Malaysia","Hannoon, A., American University in the Emirates, Dubai, United Arab Emirates; Al-Sartawi, A.M.A.M., Ahlia University, Manama, Bahrain; Khalid, A.A., Universiti Pendidikan Sultan Idris, Perak, Malaysia","Bahrain; Banks; Financial technology; Performance; ROE",,,,"Hannoon, A.; American University in the EmiratesUnited Arab Emirates; email: azzamhannon@hotmail.com","Springer Science and Business Media Deutschland GmbH",1860949X,,,,"English","Stud. Comput. Intell.",Book Chapter,"Final","",Scopus,2-s2.0-85107062755
"Alam T.M., Mushtaq M., Shaukat K., Hameed I.A., Sarwar M.U., Luo S.","57208017350;57208018860;53986622700;36175945700;57205194352;13103725600;","A novel method for performance measurement of public educational institutions using machine learning models",2021,"Applied Sciences (Switzerland)","11","19","9296","","",,13,"10.3390/app11199296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116945391&doi=10.3390%2fapp11199296&partnerID=40&md5=6d65af54b7a06e9e3c669bc80f249a9d","Department of Computer Science and Information Technology, Virtual University of Pakistan, Lahore, 54890, Pakistan; Department of Computer Science, University of Engineering and Technology, Lahore, 54890, Pakistan; School of Information and Physical Sciences, The University of Newcastle, Callaghan, 2308, Australia; Department of Data Science, University of the Punjab, Lahore, 54890, Pakistan; Department of ICT and Natural Sciences, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Department of Computer Science, Government College University Faisalabad, Faisalabad, 38000, Pakistan","Alam, T.M., Department of Computer Science and Information Technology, Virtual University of Pakistan, Lahore, 54890, Pakistan; Mushtaq, M., Department of Computer Science, University of Engineering and Technology, Lahore, 54890, Pakistan; Shaukat, K., School of Information and Physical Sciences, The University of Newcastle, Callaghan, 2308, Australia, Department of Data Science, University of the Punjab, Lahore, 54890, Pakistan; Hameed, I.A., Department of ICT and Natural Sciences, Norwegian University of Science and Technology, Trondheim, 7491, Norway; Sarwar, M.U., Department of Computer Science, Government College University Faisalabad, Faisalabad, 38000, Pakistan; Luo, S., School of Information and Physical Sciences, The University of Newcastle, Callaghan, 2308, Australia","Educational data mining; Governance; Institutes performance; Key performance indicators; Performance measurement",,,,"Alam, T.M.; Department of Computer Science and Information Technology, Pakistan; email: Talhamahboob5@gmail.com
Shaukat, K.; School of Information and Physical Sciences, Australia; email: Kamran.shaukat@uon.edu.au
Hameed, I.A.; Department of ICT and Natural Sciences, Norway; email: ibib@ntnu.no","MDPI",20763417,,,,"English","Appl. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116945391
