Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Ai R., Zheng Y., Yüksel S., Dinçer H.","58065524100;58065658300;57190620397;55567227600;","Investigating the components of fintech ecosystem for distributed energy investments with an integrated quantum spherical decision support system",2023,"Financial Innovation","9","1","27","","",,,"10.1186/s40854-022-00442-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146264669&doi=10.1186%2fs40854-022-00442-6&partnerID=40&md5=2da56bb44e740aac9e00abcce4b906c8","Bank of China Chengdu High-Tech Industrial Development Zone Sub-Branch, Chengdu, 610041, China; School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610041, China; The School of Business, İstanbul Medipol University, Beykoz, Istanbul, 34817, Turkey","Ai, R., Bank of China Chengdu High-Tech Industrial Development Zone Sub-Branch, Chengdu, 610041, China; Zheng, Y., School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610041, China; Yüksel, S., The School of Business, İstanbul Medipol University, Beykoz, Istanbul, 34817, Turkey; Dinçer, H., The School of Business, İstanbul Medipol University, Beykoz, Istanbul, 34817, Turkey","This study aimed to evaluate the components of a fintech ecosystem for distributed energy investments. A new decision-making model was created using multiple stepwise weight assessment ratio analysis and elimination and choice translating reality techniques based on quantum spherical fuzzy sets. First, in this model, the criteria for distributed energy investment necessities were weighted. Second, we ranked the components of the fintech ecosystem for distributed energy investments. The main contribution of this study is that appropriate strategies can be presented to design effective fintech ecosystems to increase distributed energy investments, by considering an original fuzzy decision-making model. Capacity is the most critical issue with respect to distributed energy investment necessities because it has the greatest weight (0.261). Pricing is another significant factor for this condition, with a weight of 0.254. Results of the ranking of the components of the fintech ecosystem indicate that end users are of the greatest importance for the effectiveness of this system. It is necessary to develop new techniques for the energy storage process, especially with technological developments, to prevent disruptions in energy production capacity. In addition, customers’ expectations should be considered for the development of effective and user-friendly financial products that are preferred by a wider audience. This would have a positive effect on fintech ecosystem performance. © 2023, The Author(s).","Distributed energy investments; ELECTRE; Fintech ecosystems; Innovative financial products; Multi SWARA",,"Ai, R.; Bank of China Chengdu High-Tech Industrial Development Zone Sub-BranchChina; email: airuichinabank@sina.com
Dinçer, H.; The School of Business, Turkey; email: hdincer@medipol.edu.tr",21994730,,,"Financial Innov.",Article,"Final","All Open Access, Gold",Scopus
"Teichmann F., Boticiu S., Sergi B.S.","57194137877;57694114300;35369323900;","RegTech – Potential benefits and challenges for businesses",2023,"Technology in Society","72",,"102150","","",,,"10.1016/j.techsoc.2022.102150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141281431&doi=10.1016%2fj.techsoc.2022.102150&partnerID=40&md5=89d4c3ceab94eea98e53cc25824e86e7","Teichmann International (Schweiz) AG, Dufourstrasse, St. Gallen, 124 9000, Switzerland; Harvard University, Cambridge, MA  02138, United States; University of Messina, Messina, 98122, Italy","Teichmann, F., Teichmann International (Schweiz) AG, Dufourstrasse, St. Gallen, 124 9000, Switzerland; Boticiu, S., Teichmann International (Schweiz) AG, Dufourstrasse, St. Gallen, 124 9000, Switzerland; Sergi, B.S., Harvard University, Cambridge, MA  02138, United States, University of Messina, Messina, 98122, Italy","The last Global Financial crisis in 2008 fuelled the need for regulation to avoid history repeating itself. New regulatory technologies (RegTech) are helping to transform how compliance issues are handled. This study aims to highlight the benefits of RegTech solutions for companies as well as the challenges of adopting these technologies. It also addresses the Markets in Financial Instruments Directive (MiFID) II legislation, which has led to an increase in the number of RegTech companies. Although these systems of technology offer compelling compliance tools, they also pose significant risks. For this reason, this study aims to draw attention to the opportunities and potential pitfalls associated with RegTech and propose recommendations for addressing the challenges related to implementing RegTech solutions. © 2022 Elsevier Ltd","Benefits; Challenges; Companies; Compliance; MiFID II; RegTech","Benefit; Benefit and challenges; Challenge; Compliance; Global financial crisis; Market in financial instrument directive II; Potential benefits; Regulatory technology; Technology companies; Technology solutions; Regulatory compliance; business development; financial crisis; global economy; information and communication technology; information technology; regulatory framework; technology adoption; technology diffusion","Boticiu, S.; Teichmann International (Schweiz) AG, Dufourstrasse, Switzerland; email: boticiu@teichmann-law.ch",0160791X,,,"Technol. Soc.",Article,"Final","",Scopus
"Jangir K., Sharma V., Taneja S., Rupeika-Apoga R.","58071188600;58071097700;57856296200;57191521370;","The Moderating Effect of Perceived Risk on Users’ Continuance Intention for FinTech Services",2023,"Journal of Risk and Financial Management","16","1","21","","",,,"10.3390/jrfm16010021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146529961&doi=10.3390%2fjrfm16010021&partnerID=40&md5=8d2cac64dfa6ddb116dba11e169c5df9","University School of Business, Chandigarh University, Mohali, 140413, India; Faculty of Business, Management and Economics, University of Latvia, Riga, LV-1586, Latvia","Jangir, K., University School of Business, Chandigarh University, Mohali, 140413, India; Sharma, V., University School of Business, Chandigarh University, Mohali, 140413, India; Taneja, S., University School of Business, Chandigarh University, Mohali, 140413, India; Rupeika-Apoga, R., Faculty of Business, Management and Economics, University of Latvia, Riga, LV-1586, Latvia","The study’s aim is to investigate how FinTech users’ perceived risk influences their continuance intention to use FinTech services. The new model, which was based on the Expectation Confirmation Model, was created to achieve the study’s aim. The Partial Least Square Structural Equation Model was used to investigate the proposed model and the relationship between the adopted constructs. The sample consists of 802 individual survey responses from northern India from April to June 2022. The proposed model explains 45.4% of the variance in the continuance intention of FinTech users, which is significantly influenced by perceived usefulness and satisfaction. Furthermore, perceived risk, as a moderator, significantly moderates continuance intention through satisfaction and satisfaction through confirmation. However, perceived risk was found to have an insignificant moderating effect on the relationship between perceived usefulness and satisfaction as well as perceived usefulness and continuance intention. The findings provide insights to FinTech service providers about the factors that influence users’ intent to continue using FinTech services. © 2022 by the authors.","continuance intention; Expectation Confirmation Model; FinTech; moderator; perceived risk; PLS-SEM",,"Rupeika-Apoga, R.; Faculty of Business, Latvia; email: ramona.rupeika-apoga@lu.lv",19118074,,,"J. Risk. Financ. Manag.",Article,"Final","All Open Access, Gold",Scopus
"Hudaefi F.A., Hassan M.K., Abduh M.","57209250605;57192805490;6508136735;","Exploring the development of Islamic fintech ecosystem in Indonesia: a text analytics",2023,"Qualitative Research in Financial Markets",,,,"","",,,"10.1108/QRFM-04-2022-0058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146192853&doi=10.1108%2fQRFM-04-2022-0058&partnerID=40&md5=5dab7cea946ef1d70853e481cad28b89","Fakultas Ekonomi dan Bisnis Islam, Institut Agama Islam Darussalam (IAID), West Jawa, Ciamis, Indonesia; Department of Economics and Finance, University of New Orleans, New Orleans, LA, United States; Department of Accounting and Finance, UBD School of Business and Economics, Universiti Brunei Darussalam, Gadong, Brunei Darussalam","Hudaefi, F.A., Fakultas Ekonomi dan Bisnis Islam, Institut Agama Islam Darussalam (IAID), West Jawa, Ciamis, Indonesia; Hassan, M.K., Department of Economics and Finance, University of New Orleans, New Orleans, LA, United States; Abduh, M., Department of Accounting and Finance, UBD School of Business and Economics, Universiti Brunei Darussalam, Gadong, Brunei Darussalam","Purpose: This study aims at two objectives, i.e. first, to identify the core elements of the Islamic fintech ecosystem, and second, to use the identified core elements to analyse the development of such an ecosystem in Indonesia. Design/methodology/approach: This work combines data analytics of text mining with qualitative analysis of human intelligence in two steps. First, knowledge discovery of the Islamic fintech ecosystem’s core elements using a sample of eight academic articles totalling 102 pages and 75,082 words. Second, using the identified core elements from step one to explore such ecosystem development in Indonesia. This stage employs a sample of 11 documents totalling 371 pages and 143,032 words from cyberspace. Findings: The core elements of the Islamic fintech ecosystem identified are financial customers, fintech startups, government, technology developers, traditional financial institutions and fatwa (Islamic legal opinion). Furthermore, the development of the Islamic fintech ecosystem in Indonesia is examined under these identified core elements, providing critical insights into the Islamic fintech ecosystem currently established in the country's industry. Research limitations/implications: This study primarily used semi-structured data from cyberspace. Traditional approaches to qualitative data collection, e.g. focused group discussions and interviews, may be beneficial for future studies in addressing the Islamic fintech ecosystem issues. Practical implications: Academia worldwide may benefit from this work in incorporating knowledge of Islamic fintech ecosystem’s core elements into Islamic finance literature. Specifically, fintech stakeholders in Indonesia may be advantaged to understand how far the Islamic fintech ecosystem has grown in the country. Social implications: The rise of unethical fintech peer-to-peer lending shows social problems in Indonesia’s fintech industry. The finding derives social implications that elucidate the current state of the country’s Islamic fintech ecosystem. Originality/value: Using a kind of big data (i.e. semi-structured text data) from cyberspace and applying steps of text mining combined with qualitative analysis, may contribute to the creation of novelties for qualitative research on financial issues. © 2022, Emerald Publishing Limited.","Data analytics; Fintech ecosystem; Indonesia; Islamic fintech; Text mining",,"Hudaefi, F.A.; Fakultas Ekonomi dan Bisnis Islam, West Jawa, Indonesia; email: alihudzaifi@gmail.com",17554179,,,"Qual. Res. Financ. Markets",Article,"Article in Press","",Scopus
"Su F., Xu C.","57221311618;58061389700;","Curbing credit corruption in China: The role of FinTech",2023,"Journal of Innovation and Knowledge","8","1","100292","","",,,"10.1016/j.jik.2022.100292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146136870&doi=10.1016%2fj.jik.2022.100292&partnerID=40&md5=9a7a5e761b04057b67b654a7cf6b5a63","School of Finance, Hubei University of Economics, Hubei, Wuhan, 430073, China","Su, F., School of Finance, Hubei University of Economics, Hubei, Wuhan, 430073, China; Xu, C., School of Finance, Hubei University of Economics, Hubei, Wuhan, 430073, China","FinTech is an emerging financial innovation model that promotes a ""technological anti-corruption"" effect. Credit corruption is a worldwide problem; however, previous studies have not focused on the anti-corruption effect of FinTech. This study first uses micro data from FinTech companies to construct city-level FinTech measurement indicators in China. An objective measurement of credit corruption is then formed by separating the expenditures for credit corruption from total business entertainment expenses. This study empirically explores the impact of FinTech on credit corruption using a sample of Chinese listed companies on the Shanghai and Shenzhen stock exchanges from 2011 to 2019. The results show that FinTech can significantly curb credit corruption, and that the expenditures for credit corruption of local companies are lower with better regional FinTech. These findings are valid after addressing endogeneity issues and conducting a series of robustness tests. The results of the heterogeneity test show that FinTech offers greater advantages for risk identification, information mining, and inclusive development than traditional finance. The curbing effect on credit corruption is stronger in companies with better intrinsic quality, more transparent information disclosure, located in less financially developed and more corrupt regions. Economic consequence analysis suggests that FinTech can correct resource misallocation caused by credit corruption and promote corporate investment efficiency. These findings are valuable for policy practices for technological anti-corruption in the financial sector. © 2022 The Author(s)","Credit corruption; Digital and intelligent transformation in banks; FinTech; Technological anti-corruption",,"Su, F.; School of Finance, Hubei, China; email: sufan_hbue@163.com",25307614,,,"J. Innov. Knowl.",Article,"Final","All Open Access, Gold",Scopus
"Ngo V.M., Van Nguyen P., Nguyen H.H., Thi Tram H.X., Hoang L.C.","57932365300;57728783800;57195427803;58055431400;58055752500;","Governance and monetary policy impacts on public acceptance of CBDC adoption",2023,"Research in International Business and Finance","64",,"101865","","",,,"10.1016/j.ribaf.2022.101865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146015257&doi=10.1016%2fj.ribaf.2022.101865&partnerID=40&md5=052c9ddc792cf7eb9da983f92185d82e","University of Economic Ho Chi Minh City, School of Banking, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Ho Chi Minh City, Viet Nam; Massey University (New Zealand), Private Bag 11 222, Palmerston North, 4442, New Zealand; University of Economic Ho Chi Minh City, School of International Business-Marketing, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Ho Chi Minh City, Viet Nam","Ngo, V.M., University of Economic Ho Chi Minh City, School of Banking, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Ho Chi Minh City, Viet Nam; Van Nguyen, P., Massey University (New Zealand), Private Bag 11 222, Palmerston North, 4442, New Zealand; Nguyen, H.H., University of Economic Ho Chi Minh City, School of Banking, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Ho Chi Minh City, Viet Nam; Thi Tram, H.X., University of Economic Ho Chi Minh City, School of Banking, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Ho Chi Minh City, Viet Nam; Hoang, L.C., University of Economic Ho Chi Minh City, School of International Business-Marketing, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Ho Chi Minh City, Viet Nam","Launching the central bank digital currency (CBDC) is increasingly recognized as a key priority by several governments. Unknown are, however, the primary factors of public support for the initiative and CBDC acceptance choices. Moreover, despite the fact that CBDC's success requires substantial public support, there is less empirical data of how the public perceives and speaks about it. This research seeks to fill in these gaps using Facebook data from May 2012 to April 2022 using deep learning algorithms for text mining. This research demonstrates that government performance, inflation rate, economic inequality, and technological literacy have a significant influence on the public's perception of CBDC. The government's support of CBDC is determined by public sentiment, the degree of adoption of decentralized finance (Defi), and monetary policy settings. The degree of wealth inequality and technological literacy are two other demographic elements that influence the government's adoption of CBDC. © 2023 Elsevier B.V.","Central bank digital currency; Financial market conditions; Governmental factors; Monetary policy; Public sentiment; Text mining",,"Ngo, V.M.; University of Economic Ho Chi Minh City, 59C Nguyen Dinh Chieu street, Ward 6, District 3, Viet Nam; email: vunm@ueh.edu.vn",02755319,,,"Res. Int. Bus. Financ.",Article,"Final","",Scopus
"Wang W., Gao P., Wang J.","57219746458;57916918800;57916156100;","Nexus among digital inclusive finance and carbon neutrality: Evidence from company-level panel data analysis",2023,"Resources Policy","80",,"103201","","",,,"10.1016/j.resourpol.2022.103201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143689938&doi=10.1016%2fj.resourpol.2022.103201&partnerID=40&md5=fa2677c9081feaf0e3c85ffbb4c48cd9","School of Economics, University of Chinese Academy of Social Sciences, Beijing, 102488, China; School of Economics, Tianjin University of Commerce, Tianjin, China","Wang, W., School of Economics, University of Chinese Academy of Social Sciences, Beijing, 102488, China; Gao, P., School of Economics, Tianjin University of Commerce, Tianjin, China; Wang, J., School of Economics, Tianjin University of Commerce, Tianjin, China","This research examined the effects of digital finance and renewable energy investment on carbon neutrality using Chinese companies' panel data from 2005 to 2020 in 30 Chinese provinces. The findings demonstrate that inclusive digital financing may directly lower carbon intensity. It can also impact carbon intensity by enhancing the industrial structure and resource efficiency and encouraging green technologies. The marginal impact of digital financing is lower for big enterprises (larger for small firms). This is in line with the reality that small businesses face more difficulties in accessing finance. Digital finance opens new funding avenues for such businesses to achieve sustainability. The inclusive feature of digital financing, as opposed to conventional banking, may enhance private businesses' green innovation. © 2022 Elsevier Ltd","Carbon neutrality; Digital inclusive finance; Renewable energy; Resources efficiency","Carbon; Energy efficiency; Investments; Carbon intensity; Carbon neutralities; Chinese companies; Digital inclusive finance; Inclusive finances; Panel data; Panel data analysis; Renewable energies; Renewable energy investments; Resource efficiencies; Renewable energy resources; alternative energy; banking; carbon; industrial structure; investment; panel data; China","Wang, W.; School of Economics, China; email: wangww1978selina@163.com
Wang, J.; School of Economics, China; email: 3570165917@qq.com",03014207,,,"Resour. Policy",Article,"Final","",Scopus
"Pathak P., Pal P.R., Maurya R.K., Rishabh, Rahul M., Yadav V.","57205670746;57196350139;57263967300;57209197215;26041060000;57201512604;","Assessment of Compliance of GDPR in IT Industry and Fintech",2023,"Lecture Notes in Networks and Systems","421",,,"703","713",,,"10.1007/978-981-19-1142-2_55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135048332&doi=10.1007%2f978-981-19-1142-2_55&partnerID=40&md5=d3b8709ed67cdf49fd7b898317728152","Symbiosis Institute of Digital and Telecom Management Symbiosis International (Deemed University), Pune, India; SAGE University, Madhya Pradesh, Bhopal, India; ABES Engineering College, Uttar Pradesh, Ghaziabad, India; Galgotias College of Engineering and Technology, Greater Noida, India; Department of Computer Application, CSJM University, Kanpur, India; Department of Technical Education, Uttar Pradesh, Kanpur, India","Pathak, P., Symbiosis Institute of Digital and Telecom Management Symbiosis International (Deemed University), Pune, India; Pal, P.R., SAGE University, Madhya Pradesh, Bhopal, India; Maurya, R.K., ABES Engineering College, Uttar Pradesh, Ghaziabad, India; Rishabh, Galgotias College of Engineering and Technology, Greater Noida, India; Rahul, M., Department of Computer Application, CSJM University, Kanpur, India; Yadav, V., Department of Technical Education, Uttar Pradesh, Kanpur, India","The general data protection regulation (GDPR) is the tough privacy and security policy toward protection of data. The policy was drafted by the European Union but imposed obligations for any organization which collects data related to the people in the European Union. This policy came into effect from 2018. If any organization violets, the law will levy huge fines. Consumer driven companies in the areas like IT services and Fintech likely to affected by the GDPPR and have to comply. The research paper seeks to explore the implication of GDPR on these two industries. The challenges faced by the two industries in planning, implementation, and complying to GDPR, the overlaps and contradictions with the existing industry frameworks which will last post GDP6R implementation, the pre- and post-GDPR scenario analysis, and lastly the trial process for the data breach of the two industries. Based on the comprehensive study and research on the aforementioned areas, this research paper then delves into building a hypothesis through qualitative and quantitative data gathered which provides a solution for the two industries to prepare, plan, implement, and comply with GDPR across industry level with respect to user data management centers and Fintechs. We have used empirical methodology and collected responses through the questionnaire. Through the research study, we have found that how important is data encryption, not only because it is mandated in GDPR but also since any sort of data revelation to a criminal party can cause a lot of damage. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Data protection; Fintech; GDPR; IT industry",,"Yadav, V.; Department of Technical Education, Uttar Pradesh, India; email: vikas.yadav.cs@gmail.com",23673370,9789811911415,,"Lect. Notes Networks Syst.",Conference Paper,"Final","",Scopus
"Khan A., Mubarik M.S., Naghavi N.","57218681472;56610321600;56013163100;","What matters for financial inclusions? Evidence from emerging economy",2023,"International Journal of Finance and Economics","28","1",,"821","838",,,"10.1002/ijfe.2451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099051996&doi=10.1002%2fijfe.2451&partnerID=40&md5=4468b6fd7111635e996b699d51f096da","Department of Finance, Muhammad Ali Jinnah University, Karachi, Pakistan; College of Business Management, Institute of Business Management, Karachi, Pakistan; School of Accounting and Law, Taylor's University, Subang Jaya, Malaysia","Khan, A., Department of Finance, Muhammad Ali Jinnah University, Karachi, Pakistan; Mubarik, M.S., College of Business Management, Institute of Business Management, Karachi, Pakistan; Naghavi, N., School of Accounting and Law, Taylor's University, Subang Jaya, Malaysia","The major objective of this research is to examine the influence of cybercrimes on financial inclusion in a developing country. Furthermore, the study also tends to examine the role of cybersecurity in controlling the impact of cybercrimes on financial inclusion. Data were collected from the banking sector of Pakistan using a close-ended questionnaire. Partial least square-structural equation modelling (PLS-SEM) technique was employed to analyse the data. The findings of the study confirm that strong cybersecurity reduces the consequences of cyber threats to financial inclusion. This study suggests that numerous external and internal factors lead to criminals for illegal activities in the banking sector. Therefore, it is obligatory for the banks to enhance their cybersecurity control, to minimize the occurrences of cyber-attacks. The present study focuses on the banking sector, so its finding cannot be generalized in other sectors. Further in-depth comparative studies in other sectors with different cultural settings will help to authenticate the research findings. © 2021 John Wiley & Sons, Ltd.","banking sector; cybercrimes; cybersecurity; financial inclusion; PLS-SEM","banking; computer system; crime; developing world; least squares method; multivariate analysis; Pakistan","Khan, A.; Department of Finance, Pakistan; email: anumasifkhan786@gmail.com",10769307,,,"Int. J. Financ. Econ.",Article,"Final","",Scopus
"Abedin M.J., Rahman S.M., Ahmed R.","57221542020;56468179600;57999638300;","Fintech in islamic banking in Bangladesh: Opportunities and threats",2022,"Digital Transformation in Islamic Finance: A Critical and Analytical View",,,,"142","153",,,"10.4324/9781003262169-10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143699133&doi=10.4324%2f9781003262169-10&partnerID=40&md5=b9fe163edf87c2248f6ca0ed1c1b06c3","Department of Finance, American International University, Bangladesh; BRAC Business School, BRAC University, Bangladesh","Abedin, M.J., Department of Finance, American International University, Bangladesh; Rahman, S.M., BRAC Business School, BRAC University, Bangladesh; Ahmed, R., BRAC Business School, BRAC University, Bangladesh",[No abstract available],,,"Abedin, M.J.; Department of Finance, Bangladesh",,9781000827224; 9781032200934,,"Digital transform. in Islamic Finance: A crit. and Analytical View",Book Chapter,"Final","",Scopus
