Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Jensen M.C., Meckling W.H.","57208461699;24458681000;","Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,"Journal of Financial Economics","3","4",,"305","360",,29405,"10.1016/0304-405X(76)90026-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44649197264&doi=10.1016%2f0304-405X%2876%2990026-X&partnerID=40&md5=624ec43a6705d2ba23a641da56abc8a6","University of Rochester, Rochester, NY 14627, United States","Jensen, M.C., University of Rochester, Rochester, NY 14627, United States; Meckling, W.H., University of Rochester, Rochester, NY 14627, United States",,,"Jensen, M.C.; University of Rochester, Rochester, NY 14627, United States",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","All Open Access, Bronze",Scopus
"Blei D.M., Ng A.Y., Jordan M.I.","55914504500;35410071600;57209168184;","Latent Dirichlet allocation",2003,"Journal of Machine Learning Research","3","4-5",,"993","1022",,25474,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141607824&partnerID=40&md5=505ce8839ae28d1cb56a7ff91bd0ad2d","Computer Science Division, University of California, Berkeley, CA 94720, United States; Computer Science Department, Stanford University, Stanford, CA 94305, United States; Computer Science Division, Department of Statistics, University of California, Berkeley, CA 94720, United States","Blei, D.M., Computer Science Division, University of California, Berkeley, CA 94720, United States; Ng, A.Y., Computer Science Department, Stanford University, Stanford, CA 94305, United States; Jordan, M.I., Computer Science Division, Department of Statistics, University of California, Berkeley, CA 94720, United States",,"Learning algorithms; Mathematical models; Parameter estimation; Probability; Text processing; Variational techniques; Bayesian model; Collaborative filtering; Latent Dirichlet allocation; Probabilistic model; Text classification; Learning systems","Blei, D.M.; Computer Science Division, , Berkeley, CA 94720, United States; email: blei@cs.berkeley.edu",15324435,,,"J. Mach. Learn. Res.",Article,"Final","",Scopus
"Pritchard J.K., Stephens M., Donnelly P.","57200979225;7201574987;57208733508;","Inference of population structure using multilocus genotype data",2000,"Genetics","155","2",,"945","959",,25177,"10.1093/genetics/155.2.945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034118493&doi=10.1093%2fgenetics%2f155.2.945&partnerID=40&md5=ef5a82bd7655ab2ede83bb4da246cef6","Department of Statistics, University of Oxford, Oxford OX1 3TG, United Kingdom; Department of Statistics, University of Oxford, 1 S. Parks Rd., Oxford OX1 3TG, United Kingdom","Pritchard, J.K., Department of Statistics, University of Oxford, Oxford OX1 3TG, United Kingdom, Department of Statistics, University of Oxford, 1 S. Parks Rd., Oxford OX1 3TG, United Kingdom; Stephens, M., Department of Statistics, University of Oxford, Oxford OX1 3TG, United Kingdom; Donnelly, P., Department of Statistics, University of Oxford, Oxford OX1 3TG, United Kingdom",,"article; bird; gene frequency; genetic marker; genotype; hybrid; nonhuman; population genetics; population structure; priority journal","Pritchard, J.K.; Department of Statistics, 1 S. Parks Rd., United Kingdom; email: pritch@stats.ox.ac.uk",00166731,,GENTA,"Genetics",Article,"Final","All Open Access, Bronze, Green",Scopus
"Coase R.H.","6506602060;","The Nature of the Firm",1937,"Economica","4","16",,"386","405",,12819,"10.1111/j.1468-0335.1937.tb00002.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979188687&doi=10.1111%2fj.1468-0335.1937.tb00002.x&partnerID=40&md5=7b460c24145494399415c5e678353734",,"Coase, R.H.",,,"Coase, R.H.",00130427,,,"Economica",Article,"Final","",Scopus
"Pan S.J., Yang Q.","22939024800;57201354715;","A survey on transfer learning",2010,"IEEE Transactions on Knowledge and Data Engineering","22","10","5288526","1345","1359",,12506,"10.1109/TKDE.2009.191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956031473&doi=10.1109%2fTKDE.2009.191&partnerID=40&md5=1f672786a90db3ffd34b0723ffff4406","Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong, Hong Kong","Pan, S.J., Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong, Hong Kong; Yang, Q., Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Clearwater Bay, Kowloon, Hong Kong, Hong Kong","data mining.; machine learning; survey; Transfer learning","Classification tasks; Clustering problems; Covariates; Data distribution; Data mining algorithm; Domain adaptation; Feature space; Knowledge transfer; Learning frameworks; Machine-learning; Multitask learning; Real-world application; Related machines; Sample selection bias; Training data; Transfer learning; Data mining; Knowledge management; Learning systems; Surveys; Learning algorithms","Pan, S. J.; Department of Computer Science and Engineering, Clearwater Bay, Kowloon, Hong Kong, Hong Kong; email: sinnopan@cse.ust.hk",10414347,,ITKEE,"IEEE Trans Knowl Data Eng",Review,"Final","",Scopus
"Elo S., Kyngäs H.","23980126800;7004879364;","The qualitative content analysis process",2008,"Journal of Advanced Nursing","62","1",,"107","115",,9773,"10.1111/j.1365-2648.2007.04569.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40949147823&doi=10.1111%2fj.1365-2648.2007.04569.x&partnerID=40&md5=324213e10f993c2c65fd44730525f39e","Department of Nursing and Health Administration, University of Oulu, Finland","Elo, S., Department of Nursing and Health Administration, University of Oulu, Finland; Kyngäs, H., Department of Nursing and Health Administration, University of Oulu, Finland","Concept formation; Content analysis; Deductive; Inductive; Nursing; Research methods","article; human; information processing; methodology; nursing methodology research; qualitative research; reproducibility; standard; statistical analysis; Data Collection; Data Interpretation, Statistical; Humans; Nursing Methodology Research; Qualitative Research; Reproducibility of Results","Elo, S.; Department of Nursing and Health Administration, Finland; email: satu.elo@oulu.fi",03092402,,JANUD,"J. Adv. Nurs.",Article,"Final","All Open Access, Green",Scopus
"Hevner A.R., March S.T., Park J., Ram S.","7004500718;7005489136;55717035500;35608028600;","Design science in information systems research",2004,"MIS Quarterly: Management Information Systems","28","1",,"75","105",,8473,"10.2307/25148625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242652022&doi=10.2307%2f25148625&partnerID=40&md5=fb1dde6271e2c2d4d646405dcddea0d1","Info. Systems and Decision Sciences, College of Business Administration, University of South Florida, Tampa, FL 33620, United States; Own Graduate School of Management, Vanderbilt University, Nashville, TN 37203, United States; College of Business Administration, Korea University, Seoul, 136-701, South Korea; Management Information Systems, Eller Coll. of Bus. and Pub. Admin., University of Arizona, Tucson, AZ 85721, United States","Hevner, A.R., Info. Systems and Decision Sciences, College of Business Administration, University of South Florida, Tampa, FL 33620, United States; March, S.T., Own Graduate School of Management, Vanderbilt University, Nashville, TN 37203, United States; Park, J., College of Business Administration, Korea University, Seoul, 136-701, South Korea; Ram, S., Management Information Systems, Eller Coll. of Bus. and Pub. Admin., University of Arizona, Tucson, AZ 85721, United States","Business environment; Creativity; Design artifact; Design science; Experimental methods; Information systems research methodologies; Search strategies; Technology infrastructure","Decision making; Information technology; Knowledge engineering; Productivity; Societies and institutions; Business environment; Creativity; Design artifact; Design science; Experimental methods; Information systems research methodologies; Search strategies; Technology infrastructure; Information analysis","Hevner, A.R.; Info. Systems and Decision Sciences, , Tampa, FL 33620, United States; email: ahevner@coba.usf.edu",02767783,,MISQD,"MIS Quart Manage Inf Syst",Article,"Final","",Scopus
"Spence M.","7103007155;","Job market signaling",1973,"Quarterly Journal of Economics","87","3",,"355","374",,7000,"10.2307/1882010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008736512&doi=10.2307%2f1882010&partnerID=40&md5=0ed1fcd630abeb77048a05cab7ab745b","Harvard University, United States","Spence, M., Harvard University, United States",,,"Spence, M.; Harvard UniversityUnited States",00335533,,,"Q. J. Econ.",Article,"Final","",Scopus
"Tranfield D., Denyer D., Smart P.","6603902035;6507489273;57225366920;","Towards a Methodology for Developing Evidence-Informed Management Knowledge by Means of Systematic Review",2003,"British Journal of Management","14","3",,"207","222",,6115,"10.1111/1467-8551.00375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141888108&doi=10.1111%2f1467-8551.00375&partnerID=40&md5=d094a9d7783d1e74ce440f2c444c408e","Cranfield School of Management, Cranfield University, Cranfield MK43 OA1, United Kingdom","Tranfield, D., Cranfield School of Management, Cranfield University, Cranfield MK43 OA1, United Kingdom; Denyer, D., Cranfield School of Management, Cranfield University, Cranfield MK43 OA1, United Kingdom; Smart, P., Cranfield School of Management, Cranfield University, Cranfield MK43 OA1, United Kingdom",,,,10453172,,,"Br. J. Manage.",Review,"Final","",Scopus
"Petersen M.A.","7202846223;","Estimating standard errors in finance panel data sets: Comparing approaches",2009,"Review of Financial Studies","22","1",,"435","480",,5441,"10.1093/rfs/hhn053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892702170&doi=10.1093%2frfs%2fhhn053&partnerID=40&md5=5bb2b363d9779f975c5717dc36235820","Kellogg School of Management, Northwestern University, NBER, 2001 Sheridan Road, Evanston, IL 60208, United States","Petersen, M.A., Kellogg School of Management, Northwestern University, NBER, 2001 Sheridan Road, Evanston, IL 60208, United States",,,"Petersen, M.A.; Kellogg School of Management, 2001 Sheridan Road, Evanston, IL 60208, United States; email: mpetersen@northwestern.edu",08939454,,,"Rev. Financ. Stud.",Review,"Final","All Open Access, Green",Scopus
"Grant M.J., Booth A.","7401439827;7201728351;","A typology of reviews: An analysis of 14 review types and associated methodologies",2009,"Health Information and Libraries Journal","26","2",,"91","108",,4060,"10.1111/j.1471-1842.2009.00848.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649899332&doi=10.1111%2fj.1471-1842.2009.00848.x&partnerID=40&md5=bf3dac9a504b36c56146b11dcec96527","Salford Centre for Nursing, Midwifery and Collaborative Research (SCNMCR), University of Salford, Salford, United Kingdom; School of Health and Related Research (ScHARR), University of Sheffield, Sheffield, United Kingdom; Salford Centre for Nursing, Midwifery and Collaborative Research, School of Nursing, University of Salford, Salford M6 6PU, United Kingdom","Grant, M.J., Salford Centre for Nursing, Midwifery and Collaborative Research (SCNMCR), University of Salford, Salford, United Kingdom, Salford Centre for Nursing, Midwifery and Collaborative Research, School of Nursing, University of Salford, Salford M6 6PU, United Kingdom; Booth, A., School of Health and Related Research (ScHARR), University of Sheffield, Sheffield, United Kingdom",,"evidence based practice; health care policy; health care system; health education; health practitioner; medical information; medical research; patient care; priority journal; review; traumatic brain injury; Evidence-Based Medicine; Humans; Information Dissemination; Publication Bias; Review Literature as Topic; Terminology as Topic; Vocabulary, Controlled","Grant, M. J.; Salford Centre for Nursing, Midwifery and Collaborative Research, , Salford M6 6PU, United Kingdom; email: m.j.grant@salford.ac.uk",14711834,,,"Health Inf. Libr. J.",Review,"Final","All Open Access, Bronze",Scopus
"Peffers K., Tuunanen T., Rothenberger M.A., Chatterjee S.","6602868892;6603156602;6603484295;7402749544;","A design science research methodology for information systems research",2007,"Journal of Management Information Systems","24","3",,"45","77",,3808,"10.2753/MIS0742-1222240302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39749104751&doi=10.2753%2fMIS0742-1222240302&partnerID=40&md5=7197b8ba5d16cb8db9717e8cd7d9072b","Management Information Systems Department, University of Nevada, Las Vegas, NV, United States; Department of Information Systems and Operations Management, University of Auckland, Auckland, New Zealand; School of Information Systems and Technology, Network Convergence Laboratory, Claremont Graduate University, Claremont, CA, United States","Peffers, K., Management Information Systems Department, University of Nevada, Las Vegas, NV, United States; Tuunanen, T., Department of Information Systems and Operations Management, University of Auckland, Auckland, New Zealand; Rothenberger, M.A., Management Information Systems Department, University of Nevada, Las Vegas, NV, United States; Chatterjee, S., School of Information Systems and Technology, Network Convergence Laboratory, Claremont Graduate University, Claremont, CA, United States","Case study; Design science; Design science research; Design theory; Mental model; Methodology; Process model","Computer simulation; Computer software reusability; Design; Engineering research; Information management; Design science research methodology; Information system research; Process model; Information systems","Peffers, K.; Management Information Systems Department, , Las Vegas, NV, United States",07421222,,JMISE,"J Manage Inf Syst",Article,"Final","",Scopus
"Lamport L., Shostak R., Pease M.","7005489216;6603113453;23042558000;","The Byzantine Generals Problem",1982,"ACM Transactions on Programming Languages and Systems (TOPLAS)","4","3",,"382","401",,3597,"10.1145/357172.357176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976699318&doi=10.1145%2f357172.357176&partnerID=40&md5=13a18f3e00e3df875eed4c015d105b4e","Computer Science Laboratory, SRI International, 333 Ravenswood Avenue, Menlo Park, CA 94205, United States","Lamport, L., Computer Science Laboratory, SRI International, 333 Ravenswood Avenue, Menlo Park, CA 94205, United States; Shostak, R., Computer Science Laboratory, SRI International, 333 Ravenswood Avenue, Menlo Park, CA 94205, United States; Pease, M., Computer Science Laboratory, SRI International, 333 Ravenswood Avenue, Menlo Park, CA 94205, United States","Algorithms; Interactive consistency; Reliability",,,01640925,,,"ACM Trans. Program. Lang. Syst.",Article,"Final","All Open Access, Green",Scopus
"Reinhart C.M., Rogoff K.S.","7004974686;6701521662;","This time is different: Eight centuries of financial folly",2009,"This Time is Different: Eight Centuries of Financial Folly",,,,"1","463",,3256,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890712521&partnerID=40&md5=548b79e28da224ef847ef2a9e6183193","Peterson Institute for International Economics, United States; Harvard University, United States","Reinhart, C.M., Peterson Institute for International Economics, United States; Rogoff, K.S., Harvard University, United States",,,"Reinhart, C.M.; Peterson Institute for International EconomicsUnited States",,9780691152646,,"This Time is Differ.: Eight Centuries of Financ. Folly",Book,"Final","",Scopus
