authors,document_title,pub_year,publication_name,doi,issn,isbn,pubmed_id,eissn
Al-Khowarizmi A;Syah R;Elveny M,The Model of Business Intelligence Development by Applying Cooperative Society Based Financial Technology,2022,LECTURE NOTES IN NETWORKS AND SYSTEMS,10.1007/978-981-16-2377-6_13,23673370,9789811623769,,
Chaudhry SM;Ahmed R;Huynh TLD;Benjasak C,Tail risk and systemic risk of finance and technology (FinTech) firms,2022,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/J.TECHFORE.2021.121191,00401625,,,
Felipe IJDS;Mendes-Da-Silva W;Leal CC;Braun Santos D,Reward crowdfunding campaigns: Time-to-success analysis,2022,JOURNAL OF BUSINESS RESEARCH,10.1016/J.JBUSRES.2021.09.004,01482963,,,
Narayanaswamy T;Karthika P;Balasubramanian K,Blockchain Enterprise: Use Cases on Multiple Industries,2022,EAISPRINGER INNOVATIONS IN COMMUNICATION AND COMPUTING,10.1007/978-3-030-76216-2_8,25228595,,,
Zheng KW;Cheong JH;Jafarian M,Intention to Adopt Robo-Advisors Among Malaysian Retail Investors: Using an Extended Version of TAM Model,2022,LECTURE NOTES IN NETWORKS AND SYSTEMS,10.1007/978-3-030-82616-1_54,23673370,9783030826154,,
Hernández-Nieves E;García-Coria JA;Rodríguez-González S;Gil-González AB,Distributed Decision Blockchain-Secured Support System to Enhance Stock Market Investment Process,2022,LECTURE NOTES IN NETWORKS AND SYSTEMS,10.1007/978-3-030-78901-5_5,23673370,9783030789008,,
Warnars DTS;Mardika EA;Pratama AR;Mua’azi MN;Erick;Warnars HLHS,Smartphone Application Using Fintech in Jakarta Transportation for Shopping in the Marketplace,2022,LECTURE NOTES IN NETWORKS AND SYSTEMS,10.1007/978-981-16-2126-0_34,23673370,9789811621253,,
Razak MIA;Dali NAM;Dhillon G;Manaf AWA,Fintech in Malaysia: An appraisal to the need of shariah-compliant regulation,2021,PERTANIKA JOURNAL OF SOCIAL SCIENCES AND HUMANITIES,10.47836/PJSSH.28.4.40,01287702,,,
Palma EB,The multiple dimensions of whistleblower protection: Lessons from the Wirecard case [Las múltiples dimensiones de la protección a los denunciantes (whistleblowers): Lecciones del caso Wirecard],2021,REVISTA ESPANOLA DE LA TRANSPARENCIA,10.51915/RET.193,24442607,,,
Li B;Xu Z,Insights into financial technology (FinTech): a bibliometric and visual study,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00285-7,21994730,,,
Daragmeh A;Lentner C;Sági J,FinTech payments in the era of COVID-19: Factors influencing behavioral intentions of “Generation X” in Hungary to use mobile payment,2021,JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,10.1016/J.JBEF.2021.100574,22146350,,,
Mogaji E;Balakrishnan J;Nwoba AC;Nguyen NP,Emerging-market consumers’ interactions with banking chatbots,2021,TELEMATICS AND INFORMATICS,10.1016/J.TELE.2021.101711,07365853,,,
Berné-Martínez JM;Ortigosa-Blanch A;Planells-Artigot E,A semantic analysis of crowdfunding in the digital press,2021,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/J.TECHFORE.2021.121175,00401625,,,
Xiang D;Zhang Y;Worthington AC,Determinants of the use of fintech finance among chinese small and medium-sized enterprises,2021,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,10.1109/TEM.2020.2989136,00189391,,,
Financial Innovation,"Correction to FinTech in Taiwan: a case study of a Bank’s strategic planning for an investment in a FinTech company (Financial Innovation, (2016), 2, (15), 10.1186/s40854-016-0037-6)",2021,FINANCIAL INNOVATION,10.1186/S40854-021-00241-5,21994730,,,
Muthukannan P;Tan B;Chiang FT;Leong C,Novel mechanisms of scalability of financial services in an emerging market context: Insights from Indonesian Fintech Ecosystem,2021,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,10.1016/J.IJINFOMGT.2021.102403,02684012,,,
Croutzet A;Dabbous A,Do FinTech trigger renewable energy use? Evidence from OECD countries,2021,RENEWABLE ENERGY,10.1016/J.RENENE.2021.07.144,09601481,,,
Gallo S,Fintech platforms: Lax or careful borrowers’ screening?,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00272-Y,21994730,,,
Seiler V;Fanenbruck KM,Acceptance of digital investment solutions: The case of robo advisory in Germany,2021,RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,10.1016/J.RIBAF.2021.101490,02755319,,,
Broby D,Financial technology and the future of banking,2021,FINANCIAL INNOVATION,10.1186/S40854-021-00264-Y,21994730,,,
