Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Abbreviated Source Title,Document Type,Publication Stage,Source,EID
"Devlin J., Chang M.-W., Lee K., Toutanova K.","54879967400;25925685700;56349980800;6506107920;","BERT: Pre-training of deep bidirectional transformers for language understanding",2019,"NAACL HLT 2019 - 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies - Proceedings of the Conference","1",,,"4171","4186",,24248,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083815650&partnerID=40&md5=4986c6d6076c0c91df84d17216b47216","Google AI Language","Devlin, J., Google AI Language; Chang, M.-W., Google AI Language; Lee, K., Google AI Language; Toutanova, K., Google AI Language",,"Computational linguistics; Language inference; Language understanding; NAtural language processing; Output layer; Pre-training; Question Answering; Representation model; State of the art; Natural language processing systems","NAACL HLT - Conf. N. Am. Chapter Assoc. Comput. Linguistics: Hum. Lang. Technol. - Proc. Conf.",Conference Paper,"Final",Scopus,2-s2.0-85083815650
"Hair J.F., Risher J.J., Sarstedt M., Ringle C.M.","16230161100;57208225377;35957036000;23480356200;","When to use and how to report the results of PLS-SEM",2019,"European Business Review","31","1",,"2","24",,6612,"10.1108/EBR-11-2018-0203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060591573&doi=10.1108%2fEBR-11-2018-0203&partnerID=40&md5=a92d3a69f8aa807120826b23ca3eb046","Department of Marketing and Quantitative Methods, University of South Alabama, Mobile, AL, United States; Department of Marketing, Supply Chain Logistics and Economics, University of West Florida College of Business, Pensacola, FL, United States; Faculty of Economics and Management, Otto-von-Guericke-University Magdeburg, Magdeburg, Germany and Monash University of Malaysia, Bandar Sunway, Malaysia; Institute of Human Resource Management and Organizations, Hamburg University of Technology (TUHH), Hamburg, Germany; University of Waikato, Hamilton, New Zealand; Department of Business, University of Mobile, Mobile, AL, United States","Hair, J.F., Department of Marketing and Quantitative Methods, University of South Alabama, Mobile, AL, United States; Risher, J.J., Department of Marketing, Supply Chain Logistics and Economics, University of West Florida College of Business, Pensacola, FL, United States, Department of Business, University of Mobile, Mobile, AL, United States; Sarstedt, M., Faculty of Economics and Management, Otto-von-Guericke-University Magdeburg, Magdeburg, Germany and Monash University of Malaysia, Bandar Sunway, Malaysia; Ringle, C.M., Institute of Human Resource Management and Organizations, Hamburg University of Technology (TUHH), Hamburg, Germany, University of Waikato, Hamilton, New Zealand","Model comparisons; Partial least squares; PLS-SEM; PLSpredict; Structural equation modeling",,"Eur. Bus. Rev.",Review,"Final",Scopus,2-s2.0-85060591573
"Breiman L., Friedman J.H., Olshen R.A., Stone C.J.","6701706461;7401866412;7003958670;7201720937;","Classification and regression trees",2017,"Classification and Regression Trees",,,,"1","358",,6321,"10.1201/9781315139470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052770793&doi=10.1201%2f9781315139470&partnerID=40&md5=edbd565bd2124300ad69e97deff5e254","University of California, Berkeley, United States; Stanford University, United States","Breiman, L., University of California, Berkeley, United States; Friedman, J.H., Stanford University, United States; Olshen, R.A., Stanford University, United States; Stone, C.J., University of California, Berkeley, United States",,,"Classification and Regres. Trees",Book,"Final",Scopus,2-s2.0-85052770793
"Taber K.S.","7006375190;","The Use of Cronbach’s Alpha When Developing and Reporting Research Instruments in Science Education",2018,"Research in Science Education","48","6",,"1273","1296",,3585,"10.1007/s11165-016-9602-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020261089&doi=10.1007%2fs11165-016-9602-2&partnerID=40&md5=eddf0b17c497709d34973602e4574557","Science Education Centre, Faculty of Education, University of Cambridge, 184 Hills Road, Cambridge, CB2 8PQ, United Kingdom","Taber, K.S., Science Education Centre, Faculty of Education, University of Cambridge, 184 Hills Road, Cambridge, CB2 8PQ, United Kingdom","Assessing knowledge and understanding; Face equivalence; Research methods; Scales; Statistics; Test development",,"Res. Sci. Educ.",Article,"Final",Scopus,2-s2.0-85020261089
"Aria M., Cuccurullo C.","23388148900;36489082700;","bibliometrix: An R-tool for comprehensive science mapping analysis",2017,"Journal of Informetrics","11","4",,"959","975",,3463,"10.1016/j.joi.2017.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029313621&doi=10.1016%2fj.joi.2017.08.007&partnerID=40&md5=277ba69eb32d964445d4db7ad9388954","Department of Economics and Statistics, Università degli Studi di Napoli Federico II, Via Cintia, C.sso M.te S.Angelo, Naples, 80126, Italy; Department of Economics and Management, Università della Campania Luigi Vanvitelli, Corso Gran Priorato di Malta, Capua, CE, Italy","Aria, M., Department of Economics and Statistics, Università degli Studi di Napoli Federico II, Via Cintia, C.sso M.te S.Angelo, Naples, 80126, Italy; Cuccurullo, C., Department of Economics and Management, Università della Campania Luigi Vanvitelli, Corso Gran Priorato di Malta, Capua, CE, Italy","Bibliographic coupling; Bibliometrics; Co-citation; R package; Science mapping; Workflow","Computer software; Data flow analysis; Open source software; Open systems; Bibliographic couplings; Bibliometric analysis; Bibliometrics; Cocitation; Mapping analysis; Open source tools; Work-flows; Workflow; Mapping","J. Inf.",Article,"Final",Scopus,2-s2.0-85029313621
"Henseler J., Hubona G., Ray P.A.","29067736100;57204049742;55879147900;","Using PLS path modeling in new technology research: Updated guidelines",2016,"Industrial Management and Data Systems","116","1",,"2","20",,3233,"10.1108/IMDS-09-2015-0382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954541015&doi=10.1108%2fIMDS-09-2015-0382&partnerID=40&md5=b0800c286b058834e3cf02956860f7b8","CTW, Laboratory of Design, Production and Management, University of Twente, Enschede, Netherlands; Georgia R School, Chattanooga, TN, United States; Business Division, Thomas University, Thomasville, GA, United States","Henseler, J., CTW, Laboratory of Design, Production and Management, University of Twente, Enschede, Netherlands; Hubona, G., Georgia R School, Chattanooga, TN, United States; Ray, P.A., Business Division, Thomas University, Thomasville, GA, United States","Guidelines; Model test; PLS; Structural equation modeling","Least squares approximations; Statistical mechanics; Design/methodology/approach; Guidelines; Model tests; Partial least square (PLS); PLS; Structural equation modeling; Structural equation modeling techniques; Technology research; Engineering research","Ind Manage Data Sys",Article,"Final",Scopus,2-s2.0-84954541015
"Gu J., Wang Z., Kuen J., Ma L., Shahroudy A., Shuai B., Liu T., Wang X., Wang G., Cai J., Chen T.","57196081014;55924830000;56539979700;25929973000;56342220300;56336297600;56542033100;57023080700;54957302700;7403153287;7405544614;","Recent advances in convolutional neural networks",2018,"Pattern Recognition","77",,,"354","377",,2864,"10.1016/j.patcog.2017.10.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031710709&doi=10.1016%2fj.patcog.2017.10.013&partnerID=40&md5=cf1de9b93d49d477cf45bed19cc7692e","ROSE Lab, Interdisciplinary Graduate School, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore","Gu, J., ROSE Lab, Interdisciplinary Graduate School, Nanyang Technological University, Singapore; Wang, Z., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Kuen, J., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Ma, L., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Shahroudy, A., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Shuai, B., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Liu, T., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Wang, X., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Wang, G., School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Cai, J., School of Computer Science and Engineering, Nanyang Technological University, Singapore; Chen, T., School of Computer Science and Engineering, Nanyang Technological University, Singapore","Convolutional neural network; Deep learning","Convolution; Deep learning; Natural language processing systems; Neural networks; Program processors; Speech recognition; Visual languages; Activation functions; Convolutional neural network; Fast computation; Graphics processor units; Loss functions; Rapid growth; State of the art; Visual recognition; Deep neural networks","Pattern Recogn.",Article,"Final",Scopus,2-s2.0-85031710709
"Ghisellini P., Cialani C., Ulgiati S.","55630342700;20336622600;6701799759;","A review on circular economy: The expected transition to a balanced interplay of environmental and economic systems",2016,"Journal of Cleaner Production","114",,,"11","32",,2845,"10.1016/j.jclepro.2015.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945954752&doi=10.1016%2fj.jclepro.2015.09.007&partnerID=40&md5=4fc5ec3ad9b81a0f2c9c1b4cc4d12537","Alma Mater Studiorum - University of Bologna, Department of Agri-Food Science and Technology, Bologna, 40127, Italy; Dalarna University, School of Technology and Business Studies, Economics Unit, Falun, 791 88, Sweden; Parthenope University of Naples, Department of Sciences and Technologies, Naples, 80143, Italy; School of Environment, Beijing Normal University, Beijing, China","Ghisellini, P., Alma Mater Studiorum - University of Bologna, Department of Agri-Food Science and Technology, Bologna, 40127, Italy; Cialani, C., Dalarna University, School of Technology and Business Studies, Economics Unit, Falun, 791 88, Sweden; Ulgiati, S., Parthenope University of Naples, Department of Sciences and Technologies, Naples, 80143, Italy, School of Environment, Beijing Normal University, Beijing, China","Circular economy; Recycling; Resource efficiency; Reuse; Sustainability; Zero waste","Efficiency; Mobile devices; Pollution control; Recycling; Sustainable development; Throughput; Waste management; Circular economy; Environmental economics; Environmental pressures; Interdisciplinary frameworks; Production and consumption; Resource efficiencies; Reuse; Zero waste; Industrial economics","J. Clean. Prod.",Article,"Final",Scopus,2-s2.0-84945954752
"Snyder H.","57014487300;","Literature review as a research methodology: An overview and guidelines",2019,"Journal of Business Research","104",,,"333","339",,2260,"10.1016/j.jbusres.2019.07.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069969175&doi=10.1016%2fj.jbusres.2019.07.039&partnerID=40&md5=1397fe9d3d9396183dd3e6096bca65ef","BI-Norwegian School of Business, Nydalsveien 37, Oslo, 0484, Norway","Snyder, H., BI-Norwegian School of Business, Nydalsveien 37, Oslo, 0484, Norway","Integrative review; Literature review; Research methodology; Synthesis; Systematic review",,"J. Bus. Res.",Article,"Final",Scopus,2-s2.0-85069969175
"Adadi A., Berrada M.","56145007600;57198135988;","Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)",2018,"IEEE Access","6",,"8466590","52138","52160",,2245,"10.1109/ACCESS.2018.2870052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053352477&doi=10.1109%2fACCESS.2018.2870052&partnerID=40&md5=cb385461376b3fd0420c138ded6d133f","Computer and Interdisciplinary Physics Laboratory, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco","Adadi, A., Computer and Interdisciplinary Physics Laboratory, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco; Berrada, M., Computer and Interdisciplinary Physics Laboratory, Sidi Mohammed Ben Abdellah University, Fez, 30050, Morocco","black-box models; Explainable artificial intelligence; interpretable machine learning","Artificial intelligence; Bioinformatics; Biological systems; Learning systems; Surveys; Transparency; Biological system modeling; Black-box model; Conferences; Market researches; Prediction algorithms; Learning algorithms","IEEE Access",Article,"Final",Scopus,2-s2.0-85053352477
