"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","Funding Details","Funding Texts","References","Correspondence Address","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Rubini, A.","Rubini, Agustin (57339842800)","57339842800","Fintech in a flash: Financial technology made easy","2018","","","","","1","231","8","10.1515/9781547401055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119164055&doi=10.1515%2F9781547401055&partnerID=40&md5=1c9ad2b870be325d3b174ef9ecb918a3","Director at Banking Innovations, United Kingdom","Rubini, Agustin, Director at Banking Innovations, United Kingdom","The financial services technology industry is booming and promises to change the way we manage our money online, disrupting the current landscape of the industry. Understanding fintech's many facets is the key to navigating the complex nuances of this global industry. Fintech in a Flash is a comprehensive guide to the future of banking and insurance. It discusses an array of hot topics such as online payments, crowdfunding, challenger banks, online insurance, digital lending, big data, and digital commerce. The author provides easy to understand explanations of the 14 main areas of fintech and their future, and insight into the main fintech hubs in the world and the so-called unicorns, fintech firms that have made it past a $1 billion valuation. He breaks down the key concepts of fFintech in a way that will help you understand every aspect so that you can take advantage of new technologies. This detailed guide is your go-to source for everything you need to confidently navigate the ever-changing scene of this booming industry. © 2019 Agustín Rubini. Published by Walter de Gruyter Inc., Boston/Berlin.","","","","","","","","","Retail Banks Wake Up to Lending Richard Fleming and John Fielding; Digital Disruption A Uk Report, (2015); Startup Spotlight Lendingrobot Simplifies Peer to Peer Lending for Investors; Kreditech Raises 110m from Naspers Payu in Strategic Financing Partnership Ingrid Lunden; undefined; Lending Startup Earnest Jumps into the Student Loan Refinancing Game Laura Shin; undefined; Revolut for Business; Klarna is Making the Jump to Real World Commerce; Lifepay Launched Internet Acquiring and Lending Services","","","De Gruyter","","","","","","","9781547417162; 9781547401055","","","English","Fintech in a Flash: Financial Technol. Made Easy","Book","Final","","Scopus","2-s2.0-85119164055"
"Ashta, A.","Ashta, Arvind (34969130600)","34969130600","News and Trends in Fintech and Digital Microfinance: Why Are European MFIs Invisible?","2018","FIIB Business Review","7","4","","232","243","19","10.1177/2319714518805183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079424621&doi=10.1177%2F2319714518805183&partnerID=40&md5=fd5361f23cb619c20932f516394c2b31","Burgundy School of Business, Dijon, Bourgogne-Franche-Comte, France","Ashta, Arvind, Burgundy School of Business, Dijon, Bourgogne-Franche-Comte, France","European microfinance suffers from a visibility deficit. It is rarely mentioned in the media. Our research question is ‘Why does European microfinance suffer from a lack of visibility in the press?’ This study looked at news reports and press releases over a 18-month period (2016–2018) to check if European microfinance and its innovations were in the news. The study finds that, indeed, there are a lot of new innovations in finance. But, first, in Europe, the highly talked about fintech innovations are taking place outside of microfinance institutions (MFIs). Second, the innovations that are talked about in microfinance are taking place in developing countries out of Europe. The study followed this up by examining websites of some of the leading European fintech firms to see what they were doing that made them so visible. We share some best practices in the use of digital technologies by highly innovative fintech firms in areas that could be of use to MFIs in diverse sectors such as mobile payments, credit scoring, card readers, ATMs and management information systems. To become visible, European microfinance may need to demonstrate that it is doing new things and that it is using innovative technologies that helps it reduce costs, increase outreach and, thus, have an impact. Forii such as the European Microfinance Network and the European Microfinance Platform need to promote these innovations by offering appropriate awards. Finally, collaborating with training and educational institutes may help add to visibility. © 2018 Fortune Institute of International Business.","credit scoring; crowdfunding; digital; financial inclusion; Fintech; microfinance","","","","","","","","Abate, Gashaw Tadesse, Rural Finance and Agricultural Technology Adoption in Ethiopia: Does the Institutional Design of Lending Organizations Matter?, World Development, 84, pp. 235-253, (2016); Alam, GM Monirul, Influence of institutional access and social capital on adaptation decision: Empirical evidence from hazard-prone rural households in Bangladesh, Ecological Economics, 130, pp. 243-251, (2016); Ashta, Arvind, Evolution of Mobile Banking Regulations: A Case Study on Legislator's Behavior, Strategic Change, 26, 1, pp. 3-20, (2017); Advanced Technologies for Microfinance Solutions and Challenges, (2011); Management Information Systems for Microfinance Catalyzing Social Innovation for Competitive Advantage, (2015); Ashta, Arvind, FinTech evolution: Strategic value management issues in a fast changing industry, Strategic Change, 27, 4, pp. 301-311, (2018); Good Governance and Growth in Global Economy, (2017); Decision 03040941, (2007); Behl, Abhishek, Analysing the Barriers towards Sustainable Financial Inclusion using Mobile Banking in Rural India, Indian Journal of Science and Technology, 9, 15, (2016); Behl, Abhishek, Enablers and barriers of mobile banking opportunities in rural India: A strategic analysis, International Journal of Business Excellence, 10, 2, pp. 209-239, (2016)","A. Ashta; Burgundy School of Business, Université Bourgogne Franche-Comté, Dijon, France; email: Arvind.Ashta@bsb-education.com","","Sage Publications India Pvt. Ltd","","","","","","23197145","","","","English","FIIB. Bus. Rev.","Article","Final","","Scopus","2-s2.0-85079424621"
"Basole, R.C.; Patel, S.S.","Basole, Rahul C. (24329464200); Patel, Shiv S. (57202057968)","24329464200; 57202057968","Transformation through unbundling: Visualizing the global FinTech ecosystem","2018","Service Science","10","4","","379","396","52","10.1287/serv.2018.0210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059737849&doi=10.1287%2Fserv.2018.0210&partnerID=40&md5=c6e7c64741133e62be7227c7bc1eff9e","College of Computing, Atlanta, GA, United States","Basole, Rahul C., College of Computing, Atlanta, GA, United States; Patel, Shiv S., College of Computing, Atlanta, GA, United States","The infusion of digital technology into financial services, also known as FinTech, is creating a massive disruption of the entire financial sector. Services traditionally offered by incumbents are now rapidly unbundled by a growing set of startups, leading to new models of collaboration and a significant shift in power. This study provides insight into the structure of the FinTech ecosystem using data-driven visualizations of 6,493 global companies across 24 market segments. We focus on two types of ecosystem entities, namely, (1) firms that create, offer, and acquire FinTech services and (2) investors that fund and enable them. Our analyses reveal a highly skewed global footprint of FinTech activities, differential growth patterns across ecosystem segments, highly interdependent network structure, and a variegated nature of investments and acquisitions led by key incumbents and venture capital firms. We conclude with theoretical and managerial implications and discuss opportunities for future service ecosystem research. © 2018 INFORMS.","FinTech; Network analysis; Service ecosystem; Transformation; Visualization","","","","","","","","Fintech and the Evolving Landscape Landing Points for the Industry, (2016); Adner, Ron, Ecosystem as Structure: An Actionable Construct for Strategy, Journal of Management, 43, 1, pp. 39-58, (2017); Agarwal, Ritu, The digital transformation of healthcare: Current status and the road ahead, Information Systems Research, 21, 4, pp. 796-809, (2010); Ahuja, Gautam, Collaboration networks, structural holes, and innovation: A longitudinal study, Administrative Science Quarterly, 45, 3, pp. 425-455, (2000); Ahuja, Gautam, The genesis and dynamics of organizational networks, Organization Science, 23, 2, pp. 434-448, (2012); Wirtschaftsinformatik Management, (2016); Digitalisierung Der Finanzindustrie, (2016); Andal-Ancion, Angela, The digital transformation of traditional businesses, MIT Sloan Management Review, 44, 4, pp. 34-41, (2003); Anderson, Nicole, Corporate venture capital - The new power broker in the FinTech innovation ecosystem, pp. 186-189, (2016); Basole, Rahul C., Visualization of interfirm relations in a converging mobile ecosystem, Journal of Information Technology, 24, 2, pp. 144-159, (2009)","R.C. Basole; School of Interactive Computing, Georgia Institute of Technology, Atlanta, 30332, United States; email: basole@gatech.edu","","INFORMS Inst.for Operations Res.and the Management Sciences","","","","","","21643962","","","","English","Serv. Sci.","Article","Final","","Scopus","2-s2.0-85059737849"
"Vershinina, A.A.; Zhdanova, O.A.; Pashkovskaya, M.V.; Nazarova, E.V.","Vershinina, Anna Aleksandrovna (57022054800); Zhdanova, Olga Aleksandrovna (57021458100); Pashkovskaya, Margarita Vasilievna (57193243206); Nazarova, Elena Vladimirovna (57192577152)","57022054800; 57021458100; 57193243206; 57192577152","FinTech Accelerators: Infrastructural institutions within the Fintech ecosystem","2018","International Journal of Mechanical Engineering and Technology","9","1198-1205","","1198","1205","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059282925&partnerID=40&md5=784c691eda1885c116ba76817e3afb9c","Plekhanov Russian University of Economics, Moscow, Russian Federation; Moscow University ""Synergy"", Moscow, Russian Federation","Vershinina, Anna Aleksandrovna, Plekhanov Russian University of Economics, Moscow, Russian Federation; Zhdanova, Olga Aleksandrovna, Plekhanov Russian University of Economics, Moscow, Russian Federation; Pashkovskaya, Margarita Vasilievna, Moscow University ""Synergy"", Moscow, Russian Federation; Nazarova, Elena Vladimirovna, Moscow University ""Synergy"", Moscow, Russian Federation","Fintech accelerators are a new infrastructural institution within the burgeoning fintech ecosystem, which currently is going through exceptional growth. A specialized type of accelerator, fintech accelerators are quickly conquering the venture capital market, steadily building up their positions, which is associated with a boom in fintech innovation. In this regard, it may be of interest to gain an insight into some of the key functions fintech accelerators perform in the market and examine some of the key areas of startup support provided by fintech accelerators. The authors have singled out six major functions of fintech accelerators: organizational, financial-economic, consulting, educative, commercial, and evolutionary. In addition, the authors have developed a stage-by-stage procedure for the selection of startups by fintech accelerators for including them in an acceleration program. An analysis of existing terms and conditions regarding accelerator application submission and consideration has helped identify a total of five major stages in the process, as well as put forward a number of ways to enhance the way accelerator applications are processed and considered at the moment. © IAEME Publication.","Accelerator; Fintech; Fintech ecosystem; Innovation; Mentoring; Selection","","","","","","","","Shuvalova, Elena Borisovna, The tax system and environmental safety, International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM, 17, 54, pp. 401-408, (2017); Gryzunova, Natalya Vladimirovna, Monetary policy and clustering for achieving competitiveness in national bussiness, European Research Studies Journal, 21, 1, pp. 480-490, (2018); Ionova, Yulia G., Analysis of the functional transformation of industrial complex infrastructure, Journal of Engineering and Applied Sciences, 12, Specialissue4, pp. 6790-6798, (2017); Ekonomika I Predprinimatel Stvo, (2017); Finansovye Issledovaniya, (2017); Innovatsii V Menedzhmente, (2017); Rapid Emergence of Fintech, (2017); Pricewaterhousecoopers, (2016); Fintechs in Europe Challenger and Partner, (2016); Kpmg, (2017)","","","IAEME Publication","","","","","","09766340","","","","English","Int. J. Mech. Eng. Technol.","Article","Final","","Scopus","2-s2.0-85059282925"
"Kang, J.","Kang, Jungho (56278153700)","56278153700","Mobile payment in Fintech environment: trends, security challenges, and services","2018","Human-centric Computing and Information Sciences","8","1","32","","","137","10.1186/s13673-018-0155-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056079698&doi=10.1186%2Fs13673-018-0155-4&partnerID=40&md5=e133c3e3114822d397f86c550a21f5ce","Department of Information Security, Baewha Women's University, Seoul, Seoul, South Korea","Kang, Jungho, Department of Information Security, Baewha Women's University, Seoul, Seoul, South Korea","Due to recent developments in IT technology, various Fintech technologies composing of finance and technology are being developed. Especially, because of rapidly growing online market and supply of mobile devices, the need for mobile Fintech payment service that enables easy online and off-line payment has increased. According to the 2013 report by market research company Gartner, purchase related global mobile payment market size was predicted to grow from $45.1 billion in 2012 to $224.3 billion in 2017 with average annual growth of 38%. The study will surveyed the recent trends of mobile Fintech payment services and categorized them based on the service forms to suggest requirements and security challenges so that better and securer service can be provided in the future. First, the study defined existing payment services and Fintech payment services by comparing them, and analyzed recent mobile Fintech payment services to classify mobile Fintech payment service providers into Hardware makers, Operating System makers, payment platform providers, and financial institutions to show their common features. Finally it defined requirements that mobile Fintech payment services must meet and security challenges that future and present mobile Fintech payment services will encounter in the perspective of mutual authentication, authorization, integrity, privacy, and availability. Through the suggested study, it is expected that mobile Fintech payment services will develop into more secure services in the future. © 2018, The Author(s).","Finance technology; Fintech; Mobile payment; Security challenges","Authentication; Electronic money; Global system for mobile communications; Mobile telecommunication systems; Average annual growth; Financial institution; Market researches; Mobile payment; Mobile payment market; Mutual authentication; Offline payments; Security challenges; Fintech","","","","","","This work was financially supported by Baewha Women’s University.","Journal of the Korea Institute of Information Security Cryptology, (2016); Park, Sung-wook, Anonymous authentication scheme based on NTRU for the protection of payment information in NFC Mobile environment, Journal of Information Processing Systems, 9, 3, pp. 461-476, (2013); Thakur, Rakhi, Adoption readiness, personal innovativeness, perceived risk and usage intention across customer groups for mobile payment services in India, Internet Research, 24, 3, pp. 369-392, (2014); Dahlberg, Tomi, A critical review of mobile payment research, Electronic Commerce Research and Applications, 14, 5, pp. 265-284, (2015); Liébana-Cabanillas, F. José, Role of gender on acceptance of mobile payment, Industrial Management and Data Systems, 114, 2, pp. 220-240, (2014); Perez, Alfredo J., Security and privacy in ubiquitous sensor networks, Journal of Information Processing Systems, 14, 2, pp. 286-308, (2018); Yang, Shuiqing, Mobile payment services adoption across time: An empirical study of the effects of behavioral beliefs, social influences, and personal traits, Computers in Human Behavior, 28, 1, pp. 129-142, (2012); World Payments Report 2018, (2019); Journal of Financial Perspectives, (2015); Han, Younhee, Hierarchical location caching scheme for mobile object tracking in the Internet of things, Journal of Information Processing Systems, 13, 5, pp. 1410-1429, (2017)","J. Kang; Department of Information Security, Baewha Women’s University, Seoul, South Korea; email: kjh7548@naver.com","","Springer Berlin Heidelberg","","","","","","","","","","English","Hum.-centric Comput. Inf. Sci.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85056079698"
"Cai, C.W.","Cai, Cynthia Weiyi (57203948988)","57203948988","Disruption of financial intermediation by FinTech: a review on crowdfunding and blockchain","2018","Accounting and Finance","58","4","","965","992","248","10.1111/acfi.12405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053727192&doi=10.1111%2Facfi.12405&partnerID=40&md5=573283ed2e4911efde94e1187753cb44","Charles Sturt University, Bathurst, NSW, Australia","Cai, Cynthia Weiyi, Charles Sturt University, Bathurst, NSW, Australia","Based on a systematic review of influential publications among 402 papers published between 2010 and 2018, this paper identifies gaps in Economics and Finance research regarding two applications of FinTech: crowdfunding and blockchain. Analysing these records shows that (i) current research on FinTech is fragmented with limited theoretical grounding; (ii) crowdfunding and blockchain can be regarded as two innovations that may disrupt traditional financial intermediation but in different ways; (iii) crowdfunding platforms substitute for traditional financial intermediaries and serve as a new intermediary, without eliminating the need for intermediation; (iv) similar to crowdfunding, blockchain also creates new intermediaries; and (v) the trust element inherent in blockchain enables blockchain to eliminate the need for intermediaries in some financial areas but not all. © 2018 The Authors. Accounting & Finance published by John Wiley & Sons Australia, Ltd on behalf of Accounting and Finance Association of Australia and New Zealand","Blockchain; Crowdfunding; Financial intermediation; FinTech","","","","","","","","Global Fintech Investment Growth Continues in 2016, (2017); Ahlers, Gerrit K.C., Signaling in Equity Crowdfunding, Entrepreneurship Theory and Practice, 39, 4, pp. 955-980, (2015); Aker, Jenny C., Information from markets near and far: Mobile phones and agricultural markets in niger, American Economic Journal: Applied Economics, 2, 3, pp. 46-59, (2010); Aker, Jenny C., Mobile phones and economic development in Africa, Journal of Economic Perspectives, 24, 3, pp. 207-232, (2010); Developing World Crowdfunding Annual Report 2016, (2016); Artificial Intelligence the Evolution of Financial Advice, (2018); Fintech 2 0 Paper, (2015); Fintechpast Present and Future, (2017); Jassa, (2016); Fed S Bullard Cryptocurrencies Creating Non Uniform Currency in US Financial Times, (2018)","C.W. Cai; Charles Sturt University Melbourne Study Group Centre, Melbourne, Australia; email: cynthia.pvic@gmail.com","","Blackwell Publishing","","","","","","08105391","","","","English","Account. Financ.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85053727192"
"Buchak, G.; Matvos, G.; Piskorski, T.; Seru, A.","Buchak, Greg (57203938459); Matvos, Gregor (24721625900); Piskorski, Tomasz (6506784723); Seru, Amit (22986418200)","57203938459; 24721625900; 6506784723; 22986418200","Fintech, regulatory arbitrage, and the rise of shadow banks","2018","Journal of Financial Economics","130","3","","453","483","882","10.1016/j.jfineco.2018.03.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053706737&doi=10.1016%2Fj.jfineco.2018.03.011&partnerID=40&md5=8ccd484eeb04c570f3046cf309bbb879","The University of Chicago, Chicago, IL, United States; McCombs School of Business, Austin, TX, United States; Columbia Business School, New York, NY, United States; Stanford Graduate School of Business, Stanford, CA, United States","Buchak, Greg, The University of Chicago, Chicago, IL, United States; Matvos, Gregor, McCombs School of Business, Austin, TX, United States; Piskorski, Tomasz, Columbia Business School, New York, NY, United States; Seru, Amit, Stanford Graduate School of Business, Stanford, CA, United States","Shadow bank market share in residential mortgage origination nearly doubled from 2007 to 2015, with particularly dramatic growth among online “fintech” lenders. We study how two forces, regulatory differences and technological advantages, contributed to this growth. Difference in difference tests exploiting geographical heterogeneity induced by four specific increases in regulatory burden–capital requirements, mortgage servicing rights, mortgage-related lawsuits, and the movement of supervision to Office of Comptroller and Currency following closure of the Office of Thrift Supervision–all reveal that traditional banks contracted in markets where they faced more regulatory constraints; shadow banks partially filled these gaps. Relative to other shadow banks, fintech lenders serve more creditworthy borrowers and are more active in the refinancing market. Fintech lenders charge a premium of 14–16 basis points and appear to provide convenience rather than cost savings to borrowers. They seem to use different information to set interest rates relative to other lenders. A quantitative model of mortgage lending suggests that regulation accounts for roughly 60% of shadow bank growth, while technology accounts for roughly 30%. © 2018 Elsevier B.V.","FHA; Fintech; Lending; Mortgages; Regulatory arbitrage; Shadow banks","","","","","","","","Acharya, Viral V., Guaranteed to fail: Fannie Mae, Freddie Mac, and the debacle of mortgage finance, pp. 1-222, (2011); Admati, Anat R., The Leverage Ratchet Effect, Journal of Finance, 73, 1, pp. 145-198, (2018); Banking Crises, (2016); Agarwal, Sumit, Inconsistent regulators: Evidence from banking, Quarterly Journal of Economics, 129, 2, pp. 889-938, (2014); Agarwal, Sumit, Policy intervention in debt renegotiation: Evidence from the home affordable modification program, Journal of Political Economy, 125, 3, pp. 654-712, (2017); undefined, (2015); undefined, (2018); Berndt, Antje, Moral hazard and adverse selection in the originate-to-distribute model of bank credit, Journal of Monetary Economics, 56, 5, pp. 725-743, (2009); Berry, Steven T., Estimating discrete-choice models of product differentiation, RAND Journal of Economics, 25, 2, pp. 242-262, (1994); J Real Estate Finance Econ, (1995)","A. Seru; Stanford GSB and the Hoover Institution, United States; email: aseru@stanford.edu","","Elsevier B.V.","","","","","","0304405X","","JFECD","","English","J. Financ. Econ.","Article","Final","","Scopus","2-s2.0-85053706737"
"Lee, D.K.C.","Lee, David Kuo Chuen (57200437680)","57200437680","FinTech and alternative investment","2018","Journal of Alternative Investments","20","3","","6","15","4","10.3905/jai.2018.20.3.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041360843&doi=10.3905%2Fjai.2018.20.3.006&partnerID=40&md5=99ad9b54a7ae6fd6d31ee3b0c7fd8fdc","Singapore University of Social Sciences, Singapore City, Singapore; Stanford University, Stanford, CA, United States","Lee, David Kuo Chuen, Singapore University of Social Sciences, Singapore City, Singapore, Stanford University, Stanford, CA, United States","[No abstract available]","","","","","","","","","Hedge Funds are Cashing in on Bitcoin Mania there are 50 Dedicated to Cryptocurrencies; Real World of Technology, (1990); Lee Kuo Chuen, David, Handbook of Blockchain, Digital Finance, and Inclusion, Volume 1: Cryptocurrency, FinTech, InsurTech, and Regulation, pp. 1-482, (2017); Handbook of Blockchain Digital Finance and Inclusion Volume 2 Chinatech Mobile Security and Distributed Ledger, (2017); Ensions and Investments, (2017); Journal of Financial Perspectives, (2015); Technics and Time 1 the Fault of Epimetheus, (1998); Smart Contracts Building Blocks for Digital Markets, (1996)","D.K.C. Lee; Singapore University of Social Sciences, Singapore, Singapore; email: davidleekc@suss.edu.sg","","Institutional Investor, Inc info@iijournals.com","","","","","","15203255","","","","English","J. Altern. Investm.","Article","Final","","Scopus","2-s2.0-85041360843"
"Schulte, P.; Liu, G.","Schulte, Paul (57200441369); Liu, Gavin (57200441613)","57200441369; 57200441613","Fintech is merging with iot and AI to challenge banks: How entrenched interests can prepare","2018","Journal of Alternative Investments","20","3","","41","57","39","10.3905/jai.2018.20.3.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041315110&doi=10.3905%2Fjai.2018.20.3.041&partnerID=40&md5=ff0192b55dfc9baaf1aba44c40ef2a00","Schulte Research, Hong Kong, Hong Kong, Hong Kong","Schulte, Paul, Schulte Research, Hong Kong, Hong Kong, Hong Kong; Liu, Gavin, Schulte Research, Hong Kong, Hong Kong, Hong Kong","[No abstract available]","","","","","","","","","Innovator S Dilemma When New Technologies Cause Great Firms to Fail, (1997); Cisco White Paper, (2011); Woodside Capital Partners, (2017); Forbes, (2014); A Visual Introduction to Machine Learning; Schulte Research, (2016)","","","Institutional Investor, Inc info@iijournals.com","","","","","","15203255","","","","English","J. Altern. Investm.","Article","Final","","Scopus","2-s2.0-85041315110"
"Soloviev, V.","Soloviev, Vladimir I. (25925405400)","25925405400","Fintech Ecosystem in Russia","2018","","","","8551808","","","27","10.1109/MLSD.2018.8551808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060060788&doi=10.1109%2FMLSD.2018.8551808&partnerID=40&md5=1059474a2a7ee37032efbe08df7ef785","Government of the Russian Federation, Financial University under the Government of the Russian Federation, Moscow, Russian Federation","Soloviev, Vladimir I., Government of the Russian Federation, Financial University under the Government of the Russian Federation, Moscow, Russian Federation","Fintech is today not only a hot mass media discussion of the future of the financial sector, but also real projects that change banking and financial services. The paper describes features and characteristics of contemporary Russian fintech landscape and ecosystem. The examples of innovative financial services in Russia, including online banking and accounting, new payments and transfers services, platforms for crowdfunding and peer-to-peer lending, blockchain initiatives, etc. are discussed. It is shown that fintech initiatives have not yet led to a radical transformation of the financial sector in Russia because participants of the fintech ecosystem have different points of view on fintech. Russian banks are now developing fintech initiatives within themselves, encouraging technology companies and fintech startups to focus their efforts on innovations that are aimed at improving processes, rather than opening new markets. The Government directs the main efforts to initiatives related to regulation of cryptocurrencies circulation and to introduction of blockchain in regtech and cybersecurity. Customers are interested in new and more convenient functionality in mobile applications, and they are waiting for new value propositions, including fast international money transfers, roboadvising, personal financial management, peer-to-peer lending. © 2018 IEEE.","digital banking; fintech; fintech business models; fintech infrastructure; fintech landscape","Blockchain; Ecosystems; Finance; Large scale systems; Business models; digital banking; fintech; fintech infrastructure; fintech landscape; Peer to peer networks","","","","","","","undefined; undefined; Financial Technology Startup Highlights Q1, (2018); Blockchain Technology Sector Overview Q1, (2018); Why do Banks Invest in Finteh but Avoid the Blocking Party, (2018); 2017 Fintech 100 Leading Global Fintech Innovators, (2020); Map of the Russian Fintech Market, (2018); Sathye, Milind, Adoption of Internet banking by Australian consumers: an empirical investigation, International Journal of Bank Marketing, 17, 7, pp. 324-334, (1999); International Journal of Service Banking, (2002); Developing A Fintech Ecosystem in the Gcc, (2015)","V. Soloviev; Department of Data Analysis Decision Making and Financial Technology, Financial University, Government of the Russian Federation, Moscow, Russian Federation; email: Vsoloviev@fa.ru","Tsvirkun, A.","Institute of Electrical and Electronics Engineers Inc.","","11th International Conference ""Management of Large-Scale System Development"", MLSD 2018","2018-10-01 through 2018-10-03","Moscow","143070","","9781538649244","","","English","Proc. Int. Conf. ""Manag. Large-Scale Syst. Dev."", MLSD","Conference paper","Final","","Scopus","2-s2.0-85060060788"
