"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Buchak, G.; Matvos, G.; Piskorski, T.; Seru, A.","Buchak, Greg (57203938459); Matvos, Gregor (24721625900); Piskorski, Tomasz (6506784723); Seru, Amit (22986418200)","57203938459; 24721625900; 6506784723; 22986418200","Fintech, regulatory arbitrage, and the rise of shadow banks","2018","Journal of Financial Economics","130","3","","453","483","882","10.1016/j.jfineco.2018.03.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053706737&doi=10.1016%2Fj.jfineco.2018.03.011&partnerID=40&md5=8ccd484eeb04c570f3046cf309bbb879","J. Financ. Econ.","Article","Final","","Scopus","2-s2.0-85053706737"
"Lee, D.K.C.","Lee, David Kuo Chuen (57200437680)","57200437680","FinTech and alternative investment","2018","Journal of Alternative Investments","20","3","","6","15","4","10.3905/jai.2018.20.3.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041360843&doi=10.3905%2Fjai.2018.20.3.006&partnerID=40&md5=99ad9b54a7ae6fd6d31ee3b0c7fd8fdc","J. Altern. Investm.","Article","Final","","Scopus","2-s2.0-85041360843"
"Kersting, K.","Kersting, Kristian (57189007679)","57189007679","Machine Learning and Artificial Intelligence: Two Fellow Travelers on the Quest for Intelligent Behavior in Machines","2018","Frontiers in Big Data","1","","6","","","91","10.3389/fdata.2018.00006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075504530&doi=10.3389%2Ffdata.2018.00006&partnerID=40&md5=494f71c1c5aaea22df0fb07691dc8d84","Frontiers. Big. Data.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85075504530"
"Fernando, E.; Surjandy, S.; Ernawaty, E.; Raharto Condrobimo, A.; Murad, D.; Madeleine Tirtamulia, L.; Savina, G.; Listyo, P.","Fernando, Erick (57189355900); Surjandy, Surjandy (57194546265); Ernawaty, Ernawaty (57217330072); Raharto Condrobimo, A. Raharto (57194542122); Murad, Dina Fitria (57193666780); Madeleine Tirtamulia, Leonie (57205018814); Savina, Giovanka (57205027159); Listyo, Pascal (57205461487)","57189355900; 57194546265; 57217330072; 57194542122; 57193666780; 57205018814; 57205027159; 57205461487","User Behavior Adopt Utilizing Fin Tech Services on Online Transportation in Indonesia (Scale Validation and Developed Instrument)","2018","","","","8528106","114","118","13","10.1109/ICIMTech.2018.8528106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058340833&doi=10.1109%2FICIMTech.2018.8528106&partnerID=40&md5=c968d6c14f5c58388ed65513db46e927","Proc. Int. Conf. Inf. Manag. Technol., ICIMTech","Conference paper","Final","","Scopus","2-s2.0-85058340833"
"Lai, K.P.Y.","Lai, Karen P.Y. (26635525400)","26635525400","Agency, power, and state–firm relations in global financial networks","2018","Dialogues in Human Geography","8","3","","285","288","19","10.1177/2043820618797463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056737091&doi=10.1177%2F2043820618797463&partnerID=40&md5=f44d0229065aa57a19d4e30c0aed2d69","Dialogues Hum. Geogr.","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85056737091"
"Zhao, S.X.B.","Zhao, Xiaobin Xiaobin B. (55308753200)","55308753200","Alibaba and the unpredictability of China’s state-led global financial networks: A response to Töpfer","2018","Dialogues in Human Geography","8","3","","276","280","3","10.1177/2043820618797745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056721683&doi=10.1177%2F2043820618797745&partnerID=40&md5=e4cf41698732b825bbbdfb8184892468","Dialogues Hum. Geogr.","Note","Final","","Scopus","2-s2.0-85056721683"
"Zhang, J.","Zhang, Jun (55992316800)","55992316800","Not Chinese exceptionalism, but comparative institutionalism!","2018","Dialogues in Human Geography","8","3","","289","293","2","10.1177/2043820618797775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056719017&doi=10.1177%2F2043820618797775&partnerID=40&md5=01583d7be12847e0196b9b97eff3037b","Dialogues Hum. Geogr.","Note","Final","","Scopus","2-s2.0-85056719017"
"Hall, S.","Hall, Sarah J.E. (16309218400)","16309218400","Placing the state within geofinance","2018","Dialogues in Human Geography","8","3","","281","284","11","10.1177/2043820618797747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056714977&doi=10.1177%2F2043820618797747&partnerID=40&md5=6d876d2c7428abd5c0d6a088f5bf2ae1","Dialogues Hum. Geogr.","Note","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85056714977"
"Töpfer, L.-M.","Töpfer, Laura Marie (56720478400)","56720478400","China’s integration into the global financial system: Toward a state-led conception of global financial networks","2018","Dialogues in Human Geography","8","3","","251","271","45","10.1177/2043820618797460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056707559&doi=10.1177%2F2043820618797460&partnerID=40&md5=1fba4f653defe38ee1854c08c08e0627","Dialogues Hum. Geogr.","Article","Final","","Scopus","2-s2.0-85056707559"
"Wójcik, D.","Wójcik, Dariusz (58572063100)","58572063100","Rethinking global financial networks: China, politics, and complexity","2018","Dialogues in Human Geography","8","3","","272","275","15","10.1177/2043820618797743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056702219&doi=10.1177%2F2043820618797743&partnerID=40&md5=9ec2b2b459e1928fce3d32c39a3b25e1","Dialogues Hum. Geogr.","Note","Final","","Scopus","2-s2.0-85056702219"
"Wall, L.D.","Wall, Larry D. (7101839613)","7101839613","Some financial regulatory implications of artificial intelligence","2018","Journal of Economics and Business","100","","","55","63","112","10.1016/j.jeconbus.2018.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051468070&doi=10.1016%2Fj.jeconbus.2018.05.003&partnerID=40&md5=53c65915e28af187984d0d68acabf6c8","J. Econ. Bus.","Article","Final","","Scopus","2-s2.0-85051468070"
