"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","Funding Details","Funding Texts","References","Correspondence Address","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Nguyen, Q.K.","Nguyen, Quoc Khanh (57193131860)","57193131860","Blockchain-A Financial Technology for Future Sustainable Development","2016","","","","7796617","51","54","246","10.1109/GTSD.2016.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011039440&doi=10.1109%2FGTSD.2016.22&partnerID=40&md5=d719a4cb4ecebd05eb23eb293d685a9e","Faculty of Economics, HCMC University of Technical Education, Ho Chi Minh City, Viet Nam","Nguyen, Quoc Khanh, Faculty of Economics, HCMC University of Technical Education, Ho Chi Minh City, Viet Nam","After the global financial crisis 2008, the world has been putting more effort in tightening banking and financial activities with stricter regulations. However, the effectiveness of this policy has remained controversial as many people believe that policy makers should promote freedom and transparency by empowering the public to directly interfere and change the system for public interest. This article attempts to synthesize and analyze available information with a focus on the role of blockchain, a financial tool that can potentially play an important role in the sustainable development of the global economy. The new technology is expected to bring massive benefits to consumers, to current banking system and to the whole society in general. © 2016 IEEE.","Bank; Blockchain; Cryptocurrency; Payment; Technology; Transfer","Electronic money; Environmental technology; Finance; Planning; Sustainable development; Technology; Bank; Block-chain; Financial activity; Financial tools; Global economies; Global financial crisis; Payment; Transfer; Environmental protection","","","","","","","World Economic Forum Khoa Tran Trans; Ihb, (2015); Khoa Tran Trans; Project Sandicate the World Opinion Page Febuary, (2016); Wall Street Journal, (2016); Wall Street Journal, (2016); Wall Street Journal, (2016); Understanding Blockchain S Technology, (2015); IMF Paper Regulation Should Preserve Benefits of Digital Currency, (2016); Wall Street Journal, (2016)","Q.K. Nguyen; Faculty of Economics, University of Technical Education HCMC, Ho Chi Minh City, Viet Nam; email: nqkhanh@hcmute.edu.vn","","Institute of Electrical and Electronics Engineers Inc.","Kun Shan University; National Institute of Solar Energy, Ministry of New and Renewable Energy; Taiwanese Association for Social Network","3rd International Conference on Green Technology and Sustainable Development, GTSD 2016","2016-11-24 through 2016-11-25","Kaohsiung","125585","","9781509036387","","","English","Proc. - Int. Conf. Green Technol. Sustain. Dev., GTSD","Conference paper","Final","","Scopus","2-s2.0-85011039440"
"Hung, J.-L.; Luo, B.","Hung, Juilong (36713432700); Luo, Binjie (57205063387)","36713432700; 57205063387","FinTech in Taiwan: a case study of a Bank’s strategic planning for an investment in a FinTech company","2016","Financial Innovation","2","1","15","","","70","10.1186/s40854-016-0037-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058395789&doi=10.1186%2Fs40854-016-0037-6&partnerID=40&md5=b7322571a92154c878729374669b41ca","Boise State University, Boise, ID, United States; Agricultural Bank of China, Beijing, China","Hung, Juilong, Boise State University, Boise, ID, United States; Luo, Binjie, Agricultural Bank of China, Beijing, China","Introduction: Since 2015 is the year of FinTech in Taiwan, it is worth investigating the challenges that emerged when banks were encouraged to invest in FinTech companies for collaboration. This study aims to identify the strategic considerations in the process of searching for FinTech investment targets. Case description: This study used a case study investigation of a top-5 bank in Taiwan. The major data sources include the meeting notes of the FinTech investment task force and interviews with the team members. Co-opetition theory was adopted as the theoretical framework and interview questions were derived from the PARTS strategies in co-petition theory. The results relate to: (1) the strategic goals of FinTech investment, (2) the added value from FinTech companies, (3) criteria in selecting candidates in the same FinTech area, (4) choosing to work as either a cooperator or a competitor, and (5) barriers from policies and regulations. Discussion and evaluation: This study has several findings: (1) regulations and policies shape FinTech’s development; (2) banks, technology companies, and customers are not “FinTech ready;” (3) Compare top-down with bottom up strategies; (4) banks and FinTech companies have complex relationships; (5) it is unlikely that Taiwan will produce FinTech disruptors in the near future. Conclusion: The findings and discussion can benefit researchers and administrators in finance-related industries. More studies are desired to observe long-term development in terms of how companies collaborate or compete in specific FinTech areas. © 2016, The Author(s).","Bank 3.0; Co-opetition Theory; FinTech; Investment in FinTech; PARTS; Taiwan bank industry; Taiwan FinTech Industry","","","","","","Total","• Financial Research and Data (79 startups, 824 M total funding)","Global Fintech Investment Growth Continues in 2016 Driven by Europe and Asia, (2016); Benbasat, Izak, The case research strategy in studies of information systems, MIS Quarterly: Management Information Systems, 11, 3, pp. 369-386, (1987); Co Opetition, (1996); Cavaye, Angèle L.M., Case study research: A multi-faceted research approach for IS, Information Systems Journal, 6, 3, pp. 227-242, (1996); Econ Res, (2011); Financial Supervisory Committee Big Data Project, (2015); Construct Digital Finance Environments, (2015); Act Governing Electronic Payment Institutions, (2015); Regulations of Bank and Financial Holding Company Investing Fintech Firms, (2015); Regulations of Industry of Information Service and Industry of Finance Technology Determined by the Competent Authority as Finance Related Industry, (2015)","J.-L. Hung; Boise State University, Boise, United States; email: andyhung@boisestate.edu","","SpringerOpen","","","","","","","","","","English","Financial Innov.","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85058395789"
"Zavolokina, L.; Dolata, M.; Schwabe, G.","Zavolokina, Liudmila (57193154298); Dolata, Mateusz (55085557500); Schwabe, Gerhard (8564379000)","57193154298; 55085557500; 8564379000","The FinTech phenomenon: antecedents of financial innovation perceived by the popular press","2016","Financial Innovation","2","1","16","","","175","10.1186/s40854-016-0036-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054082877&doi=10.1186%2Fs40854-016-0036-7&partnerID=40&md5=68db1a845cc58100ed13d9e17fddcdea","Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland","Zavolokina, Liudmila, Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland; Dolata, Mateusz, Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland; Schwabe, Gerhard, Department of Informatics, Universität Zürich, Zurich, ZH, Switzerland","The financial industry has been strongly influenced by digitalization in the past few years reflected by the emergence of “FinTech,” which represents the marriage of “finance” and “information technology.” FinTech provides opportunities for the creation of new services and business models and poses challenges to traditional financial service providers. Therefore, FinTech has become a subject of debate among practitioners, investors, and researchers and is highly visible in the popular media. In this study, we unveil the drivers motivating the FinTech phenomenon perceived by the English and German popular press including the subjects discussed in the context of FinTech. This study is the first one to reflect the media perspective on the FinTech phenomenon in the research. In doing so, we extend the growing knowledge on FinTech and contribute to a common understanding in the financial and digital innovation literature. These study contributes to research in the areas of information systems, finance and interdisciplinary social sciences. Moreover, it brings value to practitioners (entrepreneurs, investors, regulators, etc.), who explore the field of FinTech. © 2016, The Author(s).","Content analysis; Digitalization; FinTech; Innovation; Popular press","","","","","","","","Bbva Research, (2015); Cukier, Wendy L., Applying Habermas' validity claims as a standard for critical discourse analysis, IFIP Advances in Information and Communication Technology, 143, pp. 233-257, (2004); Cukier, Wendy L., A critical analysis of media discourse on information technology: Preliminary results of a proposed method for critical discourse analysis, Information Systems Journal, 19, 2, pp. 175-196, (2009); Deutsche Bank Research, (2014); undefined, (2016); Fichman, Robert G., Digital innovation as a fundamental and powerful concept in the information systems curriculum, MIS Quarterly: Management Information Systems, 38, 2, pp. 329-353, (2014); Finkel, Jenny Rose, Incorporating non-local information into information extraction systems by Gibbs sampling, pp. 363-370, (2005); Frame, W. Scott, Empirical studies of financial innovation: Lots of talk, little action?, Journal of Economic Literature, 42, 1, pp. 116-144, (2004); Oxford Handbook of Banking, (2014); International Media Newspapers, (2015)","L. Zavolokina; Department of Informatics, University of Zurich, Zurich, 8050, Switzerland; email: zavolokina@ifi.uzh.ch","","SpringerOpen","","","","","","","","","","English","Financial Innov.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85054082877"
"Kabakova, O.; Plaksenkov, E.; Korovkin, V.","Kabakova, Oksana Vasilyevna (57191976669); Plaksenkov, Evgeny (57191970446); Korovkin, Vladimir (57191983212)","57191976669; 57191970446; 57191983212","Strategizing for Financial Technology Platforms: Findings from Four Russian Case Studies","2016","Psychology and Marketing","33","12","","1106","1111","9","10.1002/mar.20945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995685056&doi=10.1002%2Fmar.20945&partnerID=40&md5=ac37d37e5a6b74813d26da6da2798077","Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation","Kabakova, Oksana Vasilyevna, Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation; Plaksenkov, Evgeny, Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation; Korovkin, Vladimir, Moscow School of Management SKOLKOVO, Moscow, Moscow Region, Russian Federation","This article studies the business strategy of digital financial platforms and creation of ecosystems. The authors assume the general methodological approach of grounded theory to study four cases of financial technology platforms from Russia; the sample represents companies focusing both on solutions for the front end (consumers) and back end (middle of the value chain). The research finds that the top executives of the companies, which create and operate the digital platforms, have an approach to business strategy that is significantly different from that of the traditional business. They defy the pragmatism of predicting the market development and planning the company's actions in accordance with such predictions. Strategic paradigm of these companies is based on the notions of inclusivity, dynamism, and reliance on independent participants of a business ecosystem. Though a radical departure from the traditional business strategy, such an approach has brought demonstrable business success across the time span of a decade. The idea of “platform–ecosystem” can also be fruitful as a tool of solving important socioeconomic issues such as financial inclusion in the emerging markets. © 2016 Wiley Periodicals, Inc.","","","","","","","","","International Proceedings of Economics Development and Research, (2012); Harvard Business Review, (2013); Cgd Policy Paper, (2015); Statistics of National Payment System, (2015); Grounded Theory Methodology an Overview, (1994); Handbook of Qualitative Research, (1994); Academy of Management Review, (1989); Eisenhardt, Kathleen M., Theory building from cases: Opportunities and challenges, Academy of Management Journal, 50, 1, pp. 25-32, (2007); Grounded Theory Core Elements Part 1, (2010); Strategies for Qualitative Research, (1967)","O. Kabakova; Moscow School of Management Skolkovo, Russian Federation; email: Oksana_kabakova@skolkovo.ru","","Wiley-Liss Inc. info@wiley.com","","","","","","07426046","","","","English","Psychol. Mark.","Article","Final","","Scopus","2-s2.0-84995685056"
"Kursh, S.; Schnure, A.","Kursh, Steven R. (6505981966); Schnure, Arthur (57194014325)","6505981966; 57194014325","Fintech and blockchain for senior IT managers","2016","Cutter Business Technology Journal","29","11","","12","17","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018315736&partnerID=40&md5=5bfade218a6d6f2df2ad7720f558c0b9","School of Business, D'Amore-McKim School of Business, Boston, MA, United States","Kursh, Steven R., School of Business, D'Amore-McKim School of Business, Boston, MA, United States; Schnure, Arthur, ","[No abstract available]","","","","","","","","","Harvard Business Review, (2016); Blockchain Revolution, (2016); undefined; Tapscott, Don, How blockchains could change the world, McKinsey Quarterly, 2016, 3, pp. 110-113, (2016); O Reilly Media, (2015); IBM, (2016); undefined; Commun ACM, (2016); undefined; Wired, (2014)","","","service@cutter.com","","","","","","24753718","","","","English","Cutter business technology journal","Article","Final","","Scopus","2-s2.0-85018315736"
"Mesfin, M.F.; Ghinea, G.; Atnafu, S.; Grønli, T.-M.","Mesfin, Woldmariam F. (55646894700); Ghinea, Gheorghita (35616295700); Atnafu, Solomon (6507393366); Grønli, Tor Morten (26027922400)","55646894700; 35616295700; 6507393366; 26027922400","Monetary Practices of Traditional Rural Communities in Ethiopia: Implications for New Financial Technology Design","2016","Human-Computer Interaction","31","6","","473","517","9","10.1080/07370024.2016.1139461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964546343&doi=10.1080%2F07370024.2016.1139461&partnerID=40&md5=3247f15c2fc5edd48edc1dead7cadfa6","Addis Ababa University, Addis Ababa, Ethiopia; Brunel University London, Uxbridge, Middlesex, United Kingdom; Westerdals Oslo ACT, Oslo, Oslo, Norway","Mesfin, Woldmariam F., Addis Ababa University, Addis Ababa, Ethiopia; Ghinea, Gheorghita, Brunel University London, Uxbridge, Middlesex, United Kingdom, Westerdals Oslo ACT, Oslo, Oslo, Norway; Atnafu, Solomon, Addis Ababa University, Addis Ababa, Ethiopia; Grønli, Tor Morten, Westerdals Oslo ACT, Oslo, Oslo, Norway","With the development of ubiquitous technologies that support the digitization of money, research is needed on how individuals’ private life practices are affected by new technological financial systems and how cash-based practices can inform their design. In this article, we report the cash-based monetary practices of one Ethiopian rural community and identify their implications for the design of new financial technology. Particularly, we focus on addressing the question, What characteristic features should go into the design of mobile money application(s) to embody a rural Ethiopian community’s money practices in social (marriage and death) and religious contexts? Primary data on everyday practices of the community were collected. Analysis of our data reveals that new financial technology design should support lived experiences such as embedded social meaning, segregated and aggregate money control, restricted money use, identity extension and hiding, refusal and acceptance of donations, disclosed and secret money practices, and assigning aesthetics to money. The article concludes by discussing possible ways of mapping these concepts into financial system design, thus contributing toward the development of cashless transactions and a cashless society. © © 2016 Taylor & Francis Group, LLC.","","Human computer interaction; User interfaces; Ethiopia; Financial system; Primary data; Rural community; Technology designs; Ubiquitous technology; Finance","","","","","","","Aaker, Jennifer Lynn, Why do people give? The role of identity in giving, Journal of Consumer Psychology, 19, 3, pp. 267-270, (2009); Proceedings of the Chi 2014 Conference on Human Factors in Computer Systems, (2014); Bell, Genevieve, No more SMS from Jesus: Ubicomp, religion and techno-spiritual practices, Lecture Notes in Computer Science, 4206 LNCS, pp. 141-158, (2006); Ben-David, Yahel, Computing security in the developing world: A case for multidisciplinary research, pp. 39-44, (2011); Berg, Sara, Mobile phones for the next generation: Device designs for teenagers, Conference on Human Factors in Computing Systems - Proceedings, pp. 433-440, (2003); Besley, Timothy J., The economics of rotating savings and credit associations, American Economic Review, 83, 4, pp. 792-810, (1993); Faceted Id Entity Managing Representation in A Digital World, (2002); What is Money Proceedings of the Msccc 2004 Conference on Mid South College Computing, (2004); Carrier, James G., Gifts, commodities, and social relations: A Maussian view of exchange, Sociological Forum, 6, 1, pp. 119-136, (1991); Gifts and Commodities Exchange and Western Capitalism Since 1700, (1995)","","","Taylor and Francis Inc. 325 Chestnut St, Suite 800 Philadelphia PA 19106","","","","","","07370024","9780124058651","HCINE","","English","Hum Comput Interact","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84964546343"
"Chen, L.","Chen, Long (55739181800)","55739181800","From Fintech to Finlife: the case of Fintech Development in China","2016","China Economic Journal","9","3","","225","239","153","10.1080/17538963.2016.1215057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988481793&doi=10.1080%2F17538963.2016.1215057&partnerID=40&md5=123309b57ce18993509679b26c6c3819","Institute of Internet Finance, Peking University, Beijing, China","Chen, Long, Institute of Internet Finance, Peking University, Beijing, China","The purpose of technology is not to make finance better, but to make finance serve real life better. Fintech has grown much faster in China than in the United States. In China, this success has come not from an initial technology advantage, but from integration between finance and real-life needs. This experience has important implications for understanding financial innovations, and for the development of inclusive finance. © 2016 Informa UK Limited, trading as Taylor & Francis Group.","financial inclusion; financial scenarization; Fintech","","","","","","","","Georgetown Journal of International Law, (2015); Mckinsey Quarterly, (2010); Fcas Regulatory Approach to Crowdfunding Over the Internet and the Promotion of Non Readily Realisable Securities by Other Media, (2014); Fintech 100 Leading Global Fintech Innovators Report 2015, (2015); Journal of Financial Perspectives, (2015); Global Financial Inclusion, (2010); China Payment and Settlement System Development Report, (2015); Does the Fintech Industry Need A New Risk Management Philosophy A Sequential Blockchain Based Typology for Virtual Currencies and E Money Services in Luxembourg, (2016); Rajan, Raghuram G., What Do We Know about Capital Structure? Some Evidence from International Data, Journal of Finance, 50, 5, pp. 1421-1460, (1995); Rajan, Raghuram G., The influence of the financial revolution on the nature of firms, American Economic Review, 91, 2, pp. 206-211, (2001)","L. Chen; Cheung Kong Graduate School of Business, and Institute of Internet Finance, Peking University, China; email: lchen@ckgsb.edu.cn","","Routledge info@tandf.co.uk","","","","","","17538963","","","","English","China Econ. J.","Article","Final","","Scopus","2-s2.0-84988481793"
"Narain, A.","Narain, Aditya (7004169331)","7004169331","Two faces of change: New financial technologies hold both promise and pitfalls","2016","Finance and Development","53","3","","20","21","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985015770&partnerID=40&md5=d24e19f7c67ba1079b139898eeaa77af","International Monetary Fund, Washington, D.C., DC, United States","Narain, Aditya, International Monetary Fund, Washington, D.C., DC, United States","[No abstract available]","","","","","","","","","Global Financial Stability Report, (2016)","","","International Monetary Fund","","","","","","01451707","","","","English","Financ. Dev.","Note","Final","","Scopus","2-s2.0-84985015770"
"Chang, Y.; Wong, S.F.; Lee, H.; Jeong, S.P.","Chang, Younghoon (55557622800); Wong, Siew Fan (56871360800); Lee, Hwansoo (55271565300); Jeong, Seon Phil (55211483900)","55557622800; 56871360800; 55271565300; 55211483900","What motivates Chinese consumers to adopt FinTech services: A regulatory focus theory","2016","ACM International Conference Proceeding Series","17-19-August-2016","","2971643","","","33","10.1145/2971603.2971643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988692193&doi=10.1145%2F2971603.2971643&partnerID=40&md5=fae55c4b2de797158c2c655b3a321d0f","Beijing Normal-Hong Kong Baptist University, Zhuhai, Guangdong, China; 5 Jalan Universiti, Sunway University, Sunway City, Selangor, Malaysia; Dankook University, Seoul, Seoul, South Korea","Chang, Younghoon, Beijing Normal-Hong Kong Baptist University, Zhuhai, Guangdong, China; Wong, Siew Fan, 5 Jalan Universiti, Sunway University, Sunway City, Selangor, Malaysia; Lee, Hwansoo, Dankook University, Seoul, Seoul, South Korea; Jeong, Seon Phil, Beijing Normal-Hong Kong Baptist University, Zhuhai, Guangdong, China","FinTech is a newly emerged service that combines innovative financial services and latest mobile technology. Since this service is new, there is a lack of study that investigates consumer behavior in adopting the service. Founded on Regulatory Focus Theory, our study aims to explain two different factors that motivate the adoption of FinTech in China. We plan to collect data from university students who used Alipay and Tenpay (two of the leading FinTech companies in China). The findings from our study will be valuable to FinTech companies in strategizing and promoting usage of their services. © 2016 ACM.","Alipay; Fintech; Regulation focus theory; Security control; Tenpay; Use and gratification","Commerce; Electronic commerce; Alipay; Fintech; Regulation focus theory; Security controls; Tenpay; Use and gratification; Consumer behavior","","","","","","","Fintech, (2016); Future of Fintech and Banking Digitally Disrupted or Reimagined, (2015); Higgins, E. Tory, Beyond pleasure and pain, American Psychologist, 52, 12, pp. 1280-1300, (1997); Lee, Angela Y., Bringing the Frame into Focus: The Influence of Regulatory Fit on Processing Fluency and Persuasion, Journal of Personality and Social Psychology, 86, 2, pp. 205-218, (2004); Brockner, Joel, Regulatory focus theory and the entrepreneurial process, Journal of Business Venturing, 19, 2, pp. 203-220, (2004); Wang, Jing, The role of regulatory focus in preference construction, Journal of Marketing Research, 43, 1, pp. 28-38, (2006); Journal of Marketing, (1982); Katz, Michael L., Network externalities, competition, and compatibility, American Economic Review, 75, 3, pp. 424-440, (1985); Suh, Bomil, The impact of customer trust and perception of security control on the acceptance of electronic commerce, International Journal of Electronic Commerce, 7, 3, pp. 135-161, (2003); Academy of Management Review, (1995)","","","Association for Computing Machinery acmhelp@acm.org","et al.; Gyeonggi MICE Bureau; Korea Tourism Organization; Korean Federation of Science and Technology Societies (KOFST); National Information Society Agency (NIA); Suwon City","18th International Conference on Electronic Commerce, ICEC 2016","2016-08-17 through 2016-08-19","Suwon","123480","21531633","9781450377881; 9781450385855; 9781450314398; 9781450396387; 9781450390019; 9781450390217; 9781450348270; 9781450381963; 9781450322485; 9781450348201","","","English","ACM Int. Conf. Proc. Ser.","Conference paper","Final","","Scopus","2-s2.0-84988692193"
"Kumagai, K.; Tsuji, S.; Omori, H.","Kumagai, Kiyoshi (56192912200); Tsuji, Satomi (24559431600); Omori, Hisanaga (57188740281)","56192912200; 24559431600; 57188740281","Utilization of AI in the financial sector: Case study and outlook for FinTech era","2016","Hitachi Review","65","6","","123","127","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978370420&partnerID=40&md5=0cc418d3d03d8dbb0f4865e932aca8e8","Global Center for Social Innovation - Tokyo, Hitachi, Ltd., Tokyo, Japan; Financial Information Systems Division, Hitachi, Ltd., Tokyo, Japan","Kumagai, Kiyoshi, Global Center for Social Innovation - Tokyo, Hitachi, Ltd., Tokyo, Japan; Tsuji, Satomi, Global Center for Social Innovation - Tokyo, Hitachi, Ltd., Tokyo, Japan; Omori, Hisanaga, Financial Information Systems Division, Hitachi, Ltd., Tokyo, Japan","OVERVIEW: A succession of new user-oriented services combining finance and IT have been appearing recently. Known as FinTech, these services influence competitive advantage for their ability to create innovation beyond the framework of conventional financial services. Acting as an enabler for creating innovation, Hitachi is taking a close look at AI, and working on its utilization in the financial sector. This article looks at phenomena such as FinTech and the IoT as precursors of changes in the financial industry. It discusses how AI is being used in the financial industry through activities designed to raise management KPIs by quantitatively evaluating organizational activity levels from action data acquired from wearable terminals. The article also describes the future outlook for AI use by examining concepts such as the development of business applications that use embedded AI.","","","","","","","","","Fintech Revolution, (2015); Transactions of the Institute of Electronics Information and Communication Engineers, (2013); Yano, Kazuo, Measuring happiness using wearable technology:Technology for boosting productivity in knowledge work and service businesses, Hitachi Review, 64, 8, pp. 517-524, (2015); Invisible Hand of Data the Rule for People Organizations and Society Uncovered by Wearable Sensors, (2014)","","","Hitachi Ltd.","","","","","","0018277X","","HITAA","","English","Hitachi Rev.","Article","Final","","Scopus","2-s2.0-84978370420"
