Authors						AUTH
Author full names				.
Author(s) ID					AU-ID
Title						TITLE
Year							PUBYEAR
Source title					SRCTITLE
Volume						VOLUME
Issue						ISSUE
Art. No.						ARTNUM
Page start					PAGEFIRST
Page end						PAGELAST
Page count					.
Cited by						.
DOI							DOI
Link							LINK
Affiliations					AFFIL
Authors with affiliations		.
Abstract						ABS
Author Keywords				AUTHKEY
Index Keywords					INDEXTERMS
Molecular Sequence Numbers
Chemicals/CAS					CASREGNUMBER
Tradenames					TRADENAME
Manufacturers					MANUFACTURER
Funding Details				.
Funding Texts					.
References					REF
Correspondence Address			.
Editors						EDITOR
Publisher						BOOKPUB
Sponsors						FUND-SPONSOR
Conference name				CONFNAME
Conference date				.
Conference location				CONFLOC
Conference code                   .
ISSN							ISSN
ISBN							ISBN
CODEN						CODEN
PubMed ID						PMID
Language of Original Document		LANGUAGE
Abbreviated Source Title			.
Document Type					DOCTYPE
Publication Stage				PUBSTAGE
Open Access					OA
Source						SOURCE
EID							EID
