"to_replace","value"
"1_DIMENSIONAL","ONE_DIMENSIONAL"
"ARTIFICIAL_NEURAL_NETWORK","NEURAL_NETWORK"
"ARTIFICIAL_NEURAL_NETWORKS","NEURAL_NETWORK"
"FEED_FORWARD_NEURAL_NETWORK","NEURAL_NETWORK"
"FORECAST","PREDICTION"
"FORECASTING","PREDICTION"
"LI_ION","LITHIUM"
"LIION","LITHIUM"
"LITHIUM_ION","LITHIUM"
"NEURAL_NET","NEURAL_NETWORK"
"REVIEW_ARTICLE","ARTICLE"
"SCOPUS_DATA_BASE","SCOPUS"
"SCOPUS_DATA_BASES","SCOPUS"
"SCOPUS_DATABASE","SCOPUS"
"SCOPUS_DATABASES","SCOPUS"
"SOLAR_IRRADIANCE","SOLAR_RADIATION"
"SOLAR_IRRADIATION","SOLAR_RADIATION"
"SOLAR_POTHOVOLTAIC","PHOTO_VOLTAIC"
"SOLAR_POTHOVOLTAICS","PHOTO_VOLTAIC"
"SOLAR_PV","PHOTO_VOLTAIC"
"SUN_IRRADIANCE","SOLAR_RADIATION"
"SUN_IRRADIATION","SOLAR_RADIATION"
"SYSTEMATIC_LITERATURE_REVIEW","REVIEW"
"ACADEMIC_ARTICLES","ARTICLE"
"ACADEMIC_ARTICLE","ARTICLE"
