source_name,iso_source_name
13TH CMI CONFERENCE ON CYBERSECURITY AND PRIVACY  DIGITAL TRANSFORMATION  POTENTIALS AND CHALLENGES CMI 2020,"CMI CONF CYBERSECUR PRIV - DIGIT TRANSFORM - POTENTIALS CHALLENGES, CMI"
13TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND EDUCATION ICCSE 2018,"INT CONF COMPUT SCI EDUC, ICCSE"
"13th CMI Conference on Cybersecurity and Privacy - Digital Transformation - Potentials and Challenges, CMI 2020","CMI CONF CYBERSECUR PRIV - DIGIT TRANSFORM - POTENTIALS CHALLENGES, CMI"
"13th International Conference on Computer Science and Education, ICCSE 2018","INT CONF COMPUT SCI EDUC, ICCSE"
1ST 2018 INDONESIAN ASSOCIATION FOR PATTERN RECOGNITION INTERNATIONAL CONFERENCE INAPR 2018  PROCEEDINGS,"INDONES ASSOC PATTERN RECOGNIT INT CONF, INAPR - PROC"
"1st 2018 Indonesian Association for Pattern Recognition International Conference, INAPR 2018 - Proceedings","INDONES ASSOC PATTERN RECOGNIT INT CONF, INAPR - PROC"
2016 INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS ICIS 2016,"INT CONF INF SYST, ICIS"
"2016 International Conference on Information Systems, ICIS 2016","INT CONF INF SYST, ICIS"
2018 IEEE INTERNATIONAL CONFERENCE ON ENGINEERING TECHNOLOGY AND INNOVATION ICEITMC 2018  PROCEEDINGS,"IEEE INT CONF ENG, TECHNOL INNOV, ICE/ITMC - PROC"
"2018 IEEE International Conference on Engineering, Technology and Innovation, ICE/ITMC 2018 - Proceedings","IEEE INT CONF ENG, TECHNOL INNOV, ICE/ITMC - PROC"
2018 INTERNATIONAL SCIENTIFICPRACTICAL CONFERENCE ON PROBLEMS OF INFOCOMMUNICATIONS SCIENCE AND TECHNOLOGY PIC S AND T 2018  PROCEEDINGS,"INT SCI-PRACT CONF PROBL INFOCOMMUNICATIONS SCI TECHNOL, PIC S T - PROC"
"2018 International Scientific-Practical Conference on Problems of Infocommunications Science and Technology, PIC S and T 2018 - Proceedings","INT SCI-PRACT CONF PROBL INFOCOMMUNICATIONS SCI TECHNOL, PIC S T - PROC"
