issn,eissn,subj_areas
20349130,22959149,"Business, Management and Accounting"
00181390,,Medicine
05461766,,Medicine
04851439,18820824,Medicine
03694739,,Medicine
2649664X,26496100,Arts and Humanities
15343219,,Arts and Humanities
,20531583,Chemistry; Engineering; Materials Science; Physics and Astronomy
2190572X,21905738,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
23297662,23297670,Engineering; Materials Science
,23656271,Computer Science; Engineering; Medicine
,20926731,Computer Science; Engineering
01285157,25502247,Arts and Humanities; Social Sciences
,20133294,Arts and Humanities
16194500,16142411,"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
23257237,,Medicine
03899160,,Arts and Humanities; Engineering; Social Sciences
16607880,16628667,Arts and Humanities; Social Sciences
15163210,19844182,Social Sciences
01972510,,Medicine
,,Medicine
,,
,25753126,Medicine
00965359,23756772,Medicine
00965979,23756780,Medicine
05673933,,Energy; Environmental Science; Mathematics
00966703,,Medicine
03758540,23309644,Arts and Humanities; Medicine
00966886,,Medicine
00966711,,Medicine
00968994,,Medicine
08882479,,Medicine
00966339,2374765X,Medicine
00966894,,Medicine
00966908,23763566,Medicine
21517290,,Arts and Humanities; Social Sciences
22123202,22147233,Arts and Humanities; Engineering; Social Sciences
01715410,,Arts and Humanities; Social Sciences
07434618,14773848,Medicine; Health Professions
,23760605,Medicine
18448143,18449166,Agricultural and Biological Sciences; Environmental Science
15597768,15597776,Medicine; Nursing
10790713,15389812,Nursing
10467467,,Medicine
00946354,21625239,Medicine; Nursing
07441479,,Medicine
23755776,23755717,Medicine; Nursing; Health Professions
08910162,,Medicine; Nursing
01491423,,Earth and Planetary Sciences; Energy
02718529,,Earth and Planetary Sciences
03650359,18251242,Agricultural and Biological Sciences; Arts and Humanities; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy
10545913,,Medicine
02182203,23094710,Physics and Astronomy
22107371,2210738X,"Pharmacology, Toxicology and Pharmaceutics"
15507416,,"Pharmacology, Toxicology and Pharmaceutics"
15221059,,"Pharmacology, Toxicology and Pharmaceutics"
,15309932,"Pharmacology, Toxicology and Pharmaceutics"
02507803,,Earth and Planetary Sciences
00010197,,Medicine
07303564,,"Business, Management and Accounting"
,25159321,General
24723444,23305517,Chemical Engineering; Materials Science
15328813,23305525,Chemical Engineering; Chemistry; Materials Science
00010340,,Medicine
21664072,21649731,Arts and Humanities; Social Sciences
15397890,,"Business, Management and Accounting"
07470088,,Social Sciences
08580855,,"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
00013072,14676281,"Business, Management and Accounting"
10133119,,Engineering
02768291,,Chemical Engineering
09428925,14320509,Medicine; Health Professions
2366004X,23660058,Medicine; Health Professions
10515526,,Engineering
00255858,18658784,Mathematics
