WORDS,ABBREVIATIONS
-BOOK,-B
-BOROUGH,-BRGH
-BOURNE,-B
-BUSINESS,-BUS
-CRAFT,-CR
-FIELD,-F
-GRAPH-,-GR
-GROUND,-GR
-GROUP,-GR
-GRUPPE,-GR
-LAND,-L
-METER,-M
-MOBIL,-MOB
-PHAS-,-PH
-PLANE,-PL
-SHIP,-SH
-SHIRE,-SH
-SPACE,-SP
-STUFF,-ST
-TON,-T
-TOWN,-T
-VILLE,-V
-WAY,-W
-WISSENSCHAFT,-WISS
ABASTECIMENTO,ABAST
ABATEMENT,ABAT
ABATIDO,ABAT
ABBREVIATION,ABBR
ABDOMINAL,ABDOM
ABEOKUTA,ABEOK
ABERDEEN,ABERD
ABIDING,ABID
ABILIT-,ABIL
ABINGTON,ABINGT
ABNORMAL-,ABNORM
ABORIG-,ABORIG
ABORT-,ABORT
ABRASIVE,ABRAS
ABRIDGED,ABR
ABRIDGMENT,ABR
ABSENTEISM,ABSENT
ABSORPTION,ABSORPT
ABSTINENCE,ABSTIN
ABSTRACT-,ABSTR
ABUNDANT-,ABUND
ABUS-,ABUS
ACADEM-,ACAD
ACARICIDE,ACARIC
ACAROLOG-,ACAROL
ACCELERAT-,ACCEL
ACCEPT-,ACCEPT
ACCESSING,ACCESS
ACCESSION-,ACCESS
ACCIDENT-,ACCID
ACCLIMAT-,ACCLIM
ACCOMMODAT-,ACCOMMOD
ACCOMODATION,ACCOMOD
ACCOMPANY,ACCO
ACCORD-,ACCORD
ACCOUNT,ACC
ACCOUNTABILITY,ACCOUNT
ACCOUNTANCY,ACCOUNT
ACCOUNTANT,ACCOUNT
ACCOUNTING,ACCOUNT
ACCREDITED,ACCREDIT
ACCULTUR-,ACCULT
ACCUMULATIVE,ACCUMUL
ACCUMULATOR,ACCUMUL
ACHIEVEMENT-,ACHIEV
ACHIEVER,ACHIEV
ACHIEVING,ACHIEV
ACIDENT-,ACID
ACIDIFICAT-,ACIDIF
ACLIMAÇ-,ACLIM
ACOMPANHAMENTO,ACOMPAN
ACONTECIM-,ACONTECIM
ACOUSTI-,ACOUST
ACOUSTOELECTRONI-,ACOUSTOELECTRON
ACQUIR-,ACQUIR
ACQUISITION-,ACQUIS
ACROBATIC,ACROBAT
ACRONYM,ACRON
ACTING,ACT
ACTINOTHERAP-,ACTINOTHER
ACTIV-,ACT
ACTUALI-,ACTUAL
ACTUAR-,ACTUAR
AÇUCAREIRO,AÇUCAR
ACUMULADOR,ACUMUL
ACUPUNCTURE,ACUPUNCT
ADAMANTINE,ADAMANT
ADAPT-,ADAPT
ADAPTOGEN-,ADAPTOG
ADBOOK,ADB
ADDICTI-,ADDICT
ADDINGTON,ADDINGT
ADDITION-,ADDIT
ADDITIVE-,ADDIT
ADELAIDE,ADEL
ADIRONDACK,ADIROND
ADJOIN-,ADJOIN
ADJUNCT,ADJUN
ADJUST-,ADJUST
ADJUSTER,ADJUST
ADJUTANT,ADJUT
ADJUVAN-,ADJUV
ADLETTER-,ADLETT
ADMINISTER-,ADM
ADMIRALTY,ADMIR
ADMISSION,ADMISS
ADMIXTURE,ADMIX
ADOLESCEN-,ADOLESC
ADRENERG-,ADREN
ADSORPTI-,ADSORPT
ADVANC-,ADV
ADVANTAGE,ADVANT
ADVENTIST,ADVENT
ADVERTIS-,ADVERT
ADVIS-,ADVIS
ADVOGADO,ADVOG
AERIAL,AER
AEROBIC-,AEROB
AEROBIOLOG-,AEROBIOL
AEROIONIZ-,AEROIONIZ
AEROJET,AEROJ
AEROMAGNETIC,AEROMAGN
AEROMEDICA-,AEROMED
AEROPLAN-,AEROPL
AEROSPACE,AEROSP
AEROSPATIAL-,AEROSP
AEROTHERMOCHEMI-,AEROTHERMOCHEM
AEROTHERMODYNAMI-,AEROTHERMODYN
AESTHETICS,AESTHET
AFFAIR-,AFF
AFFECT-,AFFECT
AFFILI-,AFFIL
AFFILIATESHIP,AFFILIATESH
AFFIRM-,AFFIRM
AFFORDABILITY,AFFORDABIL
AFFORDABLE,AFFORD
AFRICA-,AFR
AFROASIATIC,AFROASIAT
AFTERLOADING,AFTERLOAD
AFTERMARKET,AFTERMARK
AFTERTREATMENT,AFTERTREAT
AGBIOINDUSTRY,AGBIOIND
AGGLOMERAT-,AGGLOM
AGGREGATE,AGGREG
AGGREGATION,AGGREG
AGGRESSI-,AGGRESS
AGRÁR-,AGRAR
AGRARI-,AGRAR
AGREEMENT,AGREEM
AGRIBIOLOG-,AGRIBIOL
AGRICHEMICAL,AGRICHEM
AGRÍCOL-,AGRIC
AGRICULT-,AGRIC
AGRÍCULTUR-,AGRÍC
AGROCHEMI-,AGROCHEM
AGROECOL-,AGROECOL
AGROFLORESTAL,AGROFLOREST
AGROFORESTRY,AGROFOR
AGROINDUSTRIA,AGROIND
AGROVETERINARIA,AGROVET
AILMENT,AILM
AIRBRUSH,AIRBR
AIRCRAFT,AIRCR
AIRFORCE,AIRF
AIRFREIGHT,AIRFR
AIRLINE,AIRL
AIRPLANE,AIRPL
AIRPORT,AIRPT
AIRSHIP,AIRSH
AIRSPACE,AIRSP
AIRWAY,AIRW
AIRWORTHINESS,AIRWORTH
ALABAMA-,ALA
ALBERTA,ALTA
ALBERTAN,ALTA
ALBUQUERQUE,ALBUQ
ALÇADA,ALÇ
ALCHEMIST-,ALCHEM
ALCOHOLI-,ALCOHOL
ALEMANHA,ALEM
ALEMÂO,ALEM
ALENTEJANO,ALENTEJ
ALFARRABISTA,ALFARRAB
ALGODÃO,ALGOD
ALGONQUIAN,ALGONQ
ALGONQUIN,ALGONQ
ALKYLAT-,ALKYLAT
ALLEGHENY,ALLEGH
ALLELOCHEMI-,ALLELOCHEM
ALLELOPATH-,ALLELOPATH
ALLERGEN,ALLERG
ALLERGI-,ALLERG
ALLOTMENT,ALLOT
ALLOW-,ALLOW
ALLOY-,ALLOY
ALLUMIN-,ALLUM
ALMANAC-,ALM
ALPHABET-,ALPH
ALPINE,ALP
ALTERATION,ALTER
ALTERNAT-,ALTERN
ALTITUDE,ALT
ALUMINIUM,ALUM
ALUMINUM,ALUM
AMALGAMATE,AMALGAM
AMARANTH-,AMARAN
AMAZ-,AMAZ
AMAZONAS,AMAZON
AMAZONENS-,AMAZON
AMAZONIA,AMAZON
AMBULANC-,AMBULANC
AMBULATORY,AMBUL
AMEND-,AMEND
AMERICA-,AM
AMITYVILLE,AMITYV
AMMONIA-,AMMON
AMMUNITION,AMMUNIT
AMORPH-,AMORPH
AMOUNT-,AMOUNT
AMPLIFICATION,AMPLIF
AMPLIFIER,AMPLIF
AMUSEMENT,AMUS
AMYOTROPHIC,AMYOTROPH
ANABOLI-,ANAB
ANAEROBIC,ANAEROB
ANAESTHESIA,ANAESTH
ANAESTHESIOLOG-,ANAESTHESIOL
ANAESTHET-,ANAESTH
ANAIS,AN
ANALS,AN
ANALYT-,ANAL
ANALYZ-,ANAL
ANAMBRA,ANAM
ANAPHYLAXIE,ANAPHYL
ANATOLIAN,ANATOL
ANATOMY,ANAT
ANCIENT,ANC
ANDROGEN-,ANDROG
ANDROLOGY,ANDROL
ANECDOTAL,ANECDOT
ANESTHÉS-,ANESTH
ANESTHESIOLOG-,ANESTHESIOL
ANESTHET-,ANESTH
ANGIOGRAPH-,ANGIOGR
ANGIOSURGERY,ANGIOSURG
ANGIOTHERAP-,ANGIOTHER
ANGLICAN,ANGL
ANIMAT-,ANIMAT
ANKYLOSING,ANKYL
ANNAL-,ANN
ANNAPOLIS,ANNAP
ANNIVERS-,ANNIV
ANNOTAT-,ANNOT
ANNOUNC-,ANNOUNC
ANNU-,ANNU
ANOINTING,ANOINT
ANOMALY,ANOM
ANONYMOUS,ANON
ANSWER,ANSW
ANTARCTI-,ANTARCT
ANTECIPAÇÃO,ANTECIP
ANTHROPOGEN-,ANTHROPOG
