source_name,iso_source_name
11TH ANNUAL IEEE INFORMATION TECHNOLOGY ELECTRONICS AND MOBILE COMMUNICATION CONFERENCE IEMCON 2020,"ANNU IEEE INF TECHNOL, ELECTRON MOB COMMUN CONF, IEMCON"
12TH INTERNATIONAL CONFERENCE ON EVALUATION AND ASSESSMENT IN SOFTWARE ENGINEERING EASE 2008,"INT CONF EVAL ASSESS SOFTW ENG, EASE"
13TH CMI CONFERENCE ON CYBERSECURITY AND PRIVACY  DIGITAL TRANSFORMATION  POTENTIALS AND CHALLENGES CMI 2020,"CMI CONF CYBERSECUR PRIV - DIGIT TRANSFORM - POTENTIALS CHALLENGES, CMI"
13TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND EDUCATION ICCSE 2018,"INT CONF COMPUT SCI EDUC, ICCSE"
14TH INTERNATIONAL CONFERENCE ON SERVICES SYSTEMS AND SERVICES MANAGEMENT ICSSSM 2017  PROCEEDINGS,"INT CONF SERV SYST SERV MANAG, ICSSSM - PROC"
15TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND EDUCATION ICCSE 2020,"INT CONF COMPUT SCI EDUC, ICCSE"
16TH INTERNATIONAL WORLD WIDE WEB CONFERENCE WWW2007,INT WORLD WIDE WEB CONF
17TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERINGELECTRONICS COMPUTER TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY ECTICON 2020,"INT CONF ELECTR ENG/ELECTRON, COMPUT, TELECOMMUN INF TECHNOL, ECTI-CON"
18TH EUROPEAN CONFERENCE ON INFORMATION SYSTEMS ECIS 2010,"EUR CONF INF SYST, ECIS"
1ST 2018 INDONESIAN ASSOCIATION FOR PATTERN RECOGNITION INTERNATIONAL CONFERENCE INAPR 2018  PROCEEDINGS,"INDONES ASSOC PATTERN RECOGNIT INT CONF, INAPR - PROC"
1ST ANNUAL INTERNATIONAL CONFERENCE ON CYBER WARFARE AND SECURITY ICCWS 2020  PROCEEDINGS,"ANNU INT CONF CYBER WARF SECUR, ICCWS - PROC"
1ST INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES IN INTELLIGENT CONTROL ENVIRONMENT COMPUTING AND COMMUNICATION ENGINEERING ICATIECE 2019,"INT CONF ADV TECHNOL INTELL CONTROL, ENVIRON, COMPUT COMMUN ENG, ICATIECE"
1ST INTERNATIONAL CONFERENCE ON INDUSTRIAL ARTIFICIAL INTELLIGENCE IAI 2019,"INT CONF IND ARTIF INTELL, IAI"
1ST INTERNATIONAL INFORMATICS AND SOFTWARE ENGINEERING CONFERENCE INNOVATIVE TECHNOLOGIES FOR DIGITAL TRANSFORMATION IISEC 2019  PROCEEDINGS,"INT INF SOFTW ENG CONF: INNOV TECHNOL DIGIT TRANSFORM, IISEC - PROC"
2009 8TH INTERNATIONAL CONFERENCE ON MOBILE BUSINESS,INT CONF MOBILE BUS
2010 IEEE INTERNATIONAL WORKSHOP ON BUSINESS APPLICATIONS OF SOCIAL NETWORK ANALYSIS BASNA 2010,"IEEE INT WORKSHOP BUS APPL SOC NETW ANAL, BASNA"
2010 INTERNATIONAL CONFERENCE ON COMPUTER INFORMATION SYSTEMS AND INDUSTRIAL MANAGEMENT APPLICATIONS CISIM 2010,"INT CONF COMPUT INF SYST IND MANAGE APPL, CISIM"
2013 17TH INTERNATIONAL CONFERENCE ON SYSTEM THEORY CONTROL AND COMPUTING ICSTCC 2013 JOINT CONFERENCE OF SINTES 2013 SACCS 2013 SIMSIS 2013  PROCEEDINGS,"INT CONF SYST THEORY, CONTROL COMPUT, ICSTCC; JT CONF SINTES, SACCS, SIMSIS - PROC"
2014 IEEE CONFERENCE ON COMMUNICATIONS AND NETWORK SECURITY CNS 2014,"IEEE CONF COMMUN NETW SECUR, CNS"
2015 23RD SIGNAL PROCESSING AND COMMUNICATIONS APPLICATIONS CONFERENCE SIU 2015  PROCEEDINGS,"SIGNAL PROCESS COMMUN APPL CONF, SIU - PROC"
2015 24TH WIRELESS AND OPTICAL COMMUNICATION CONFERENCE WOCC 2015,"WIREL OPT COMMUN CONF, WOCC"
2015 IEEE SYMPOSIUM ON VISUALIZATION FOR CYBER SECURITY VIZSEC 2015,"IEEE SYMP VIS CYBER SECUR, VIZSEC"
2016 14TH ANNUAL CONFERENCE ON PRIVACY SECURITY AND TRUST PST 2016,"ANNU CONF PRIV, SECUR TRUST, PST"
2016 IEEEACIS 15TH INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE ICIS 2016  PROCEEDINGS,"IEEE/ACIS INT CONF COMPUT INF SCI, ICIS - PROC"
2016 INFORMATION SECURITY FOR SOUTH AFRICA  PROCEEDINGS OF THE 2016 ISSA CONFERENCE,INF SECUR SOUTH AFRICA - PROC ISSA CONF
2016 INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER SCIENCE AND INFORMATION SYSTEMS ICACSIS 2016,"INT CONF ADV COMPUT SCI INF SYST, ICACSIS"
2016 INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS ICIS 2016,"INT CONF INF SYST, ICIS"
