raw_source_title,issn,eissn,subject_areas
@GRH,20349130,22959149,"Business, Management and Accounting"
[Hifu] Skin research,00181390,,Medicine
[Nippon koshu eisei zasshi] Japanese journal of public health,05461766,,Medicine
[Rinsho ketsueki] The Japanese journal of clinical hematology,04851439,18820824,Medicine
[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai,03694739,,Medicine
20 & 21: Revue d'Histoire,2649664X,26496100,Arts and Humanities
21st Century Music,15343219,,Arts and Humanities
2D Materials,,20531583,Chemistry; Engineering; Materials Science; Physics and Astronomy
3 Biotech,2190572X,21905738,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
3D Printing and Additive Manufacturing,23297662,23297670,Engineering; Materials Science
3D Printing in Medicine,,23656271,Computer Science; Engineering; Medicine
3D Research,,20926731,Computer Science; Engineering
"3L: Language, Linguistics, Literature",01285157,25502247,Arts and Humanities; Social Sciences
452°F,,20133294,Arts and Humanities
4OR,16194500,16142411,"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
A & A case reports,23257237,,Medicine
A + U-Architecture and Urbanism,03899160,,Arts and Humanities; Engineering; Social Sciences
A Contrario,16607880,16628667,Arts and Humanities; Social Sciences
A e C - Revista de Direito Administrativo e Constitucional,15163210,19844182,Social Sciences
A Journal of emergency medical services : JEMS,01972510,,Medicine
A journal of Jewish medical ethics and halacha,,,Medicine
A report of the ... National Forum on Hospital and Health Affairs / conducted by the Graduate Program in Hospital Administration of Duke University. National Forum on Hospital and Health Affairs,,,
A&A practice,,25753126,Medicine
A. M. A. archives of dermatology,00965359,23756772,Medicine
A. M. A. archives of dermatology and syphilology,00965979,23756780,Medicine
A. M. A. archives of industrial health,05673933,,Energy; Environmental Science; Mathematics
A. M. A. archives of industrial hygiene and occupational medicine,00966703,,Medicine
A. M. A. archives of neurology,03758540,23309644,Arts and Humanities; Medicine
A. M. A. archives of neurology and psychiatry,00966886,,Medicine
A. M. A. archives of pathology,00966711,,Medicine
A.M.A. American journal of diseases of children,00968994,,Medicine
A.M.A. archives of internal medicine,08882479,,Medicine
A.M.A. archives of ophthalmology,00966339,2374765X,Medicine
A.M.A. archives of otolaryngology,00966894,,Medicine
A.M.A. archives of surgery,00966908,23763566,Medicine
a/b: Auto/Biography Studies,21517290,,Arts and Humanities; Social Sciences
A+BE Architecture and the Built Environment,22123202,22147233,Arts and Humanities; Engineering; Social Sciences
