"to_replace","value"
"FORECASTING","PREDICTION"
"FORECAST","PREDICTION"
"1_DIMENSIONAL","ONE_DIMENSIONAL"
"NEURAL_NET","NEURAL_NETWORK"
"ARTIFICIAL_NEURAL_NETWORK","NEURAL_NETWORK"
"ARTIFICIAL_NEURAL_NETWORKS","NEURAL_NETWORK"
"SOLAR_IRRADIANCE","SOLAR_RADIATION"
"SUN_IRRADIANCE","SOLAR_RADIATION"
"SOLAR_IRRADIATION","SOLAR_RADIATION"
"SUN_IRRADIATION","SOLAR_RADIATION"
"SOLAR_PV","PHOTO_VOLTAIC"
"SOLAR_POTHOVOLTAIC","PHOTO_VOLTAIC"
"SOLAR_POTHOVOLTAICS","PHOTO_VOLTAIC"
"LITHIUM_ION","LITHIUM"
"LI_ION","LITHIUM"
"FEED_FORWARD_NEURAL_NETWORK","NEURAL_NETWORK"
"LIION","LITHIUM"
"REVIEW_ARTICLE","REVIEW"
"SCOPUS_DATABASES","SCOPUS"
"SCOPUS_DATA_BASES","SCOPUS"
"SCOPUS_DATABASE","SCOPUS"
"SCOPUS_DATA_BASE","SCOPUS"
"SYSTEMATIC_LITERATURE_REVIEW","REVIEW"
